"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.3439898838, 0.5408497278, 0.0000000000, 0.0000000000, 0.0000000000, 0.1776163770, 0.5285151830, 0.3626557177, 0.0000000000, 0.6360174852, -4.6802560522, -5.9631967350, -7.4201129300, -4.1360192555, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041666667
           1, 0.1552888570, -0.0340023799, 0.0000000000, 0.0000000000, 0.0000000000, -0.0141826527, -0.0394011696, 0.1540075933, 0.0000000000, -4.5669996416, -4.7046100204, -5.1404953577, -4.9660846374, -4.1542942680, 0.0000000000, 5.0000000000, 5.0000000000, 0.0085833333
           2, 0.1596906210, 0.0495486268, 0.0000000000, 0.0000000000, 0.0000000000, 0.0072241860, 0.0439453208, 0.1613225639, 0.0000000000, 3.2229070989, -5.1636004348, -5.4626828093, -5.2357368575, -4.6147301783, 0.0000000000, 5.0000000000, 5.0000000000, 0.0124833333
           3, 0.1517301290, 0.0173281659, 0.0000000000, 0.0000000000, 0.0000000000, -0.0095221150, 0.0120223049, 0.1522424434, 0.0000000000, 8.7562717057, -5.5664324114, -5.7585871206, -5.6295560631, -5.0298281526, 0.0000000000, 5.0000000000, 5.0000000000, 0.0163833333
           4, 0.1598418951, 0.0145449781, 0.0000000000, 0.0000000000, 0.0000000000, -0.0048646813, 0.0089577160, 0.1602521362, 0.0000000000, 10.9894902517, -5.9440142920, -6.0320115790, -5.9558810631, -5.4029732964, 0.0000000000, 5.0000000000, 5.0000000000, 0.0210666667
           5, 0.1713343908, 0.0117280578, 0.0000000000, 0.0000000000, 0.0000000000, -0.0038872578, 0.0057414294, 0.1716393219, 0.0000000000, 14.6089313384, -6.1583460610, -6.1739825886, -6.1248804485, -5.6227908080, 0.0000000000, 5.0000000000, 5.0000000000, 0.0244500000
           6, 0.1839631171, 0.0112125305, 0.0000000000, 0.0000000000, 0.0000000000, -0.0006917285, 0.0047854799, 0.1842423634, 0.0000000000, 16.4069223172, -6.4283565634, -6.3005417305, -6.2409814985, -5.9046934191, 0.0000000000, 5.0000000000, 5.0000000000, 0.0291166667
           7, 0.1952080282, 0.0110427459, 0.0000000000, 0.0000000000, 0.0000000000, 0.0015742574, 0.0042233570, 0.1954744990, 0.0000000000, 17.6774898808, -6.5599681716, -6.3398215570, -6.2831616494, -6.0330760721, 0.0000000000, 5.0000000000, 5.0000000000, 0.0327666667
           8, 0.2058720348, 0.0110459485, 0.0000000000, 0.0000000000, 0.0000000000, 0.0036897342, 0.0038543892, 0.2061321212, 0.0000000000, 18.6377868994, -6.6266022339, -6.3557378880, -6.3031989511, -6.1020000106, 0.0000000000, 5.0000000000, 5.0000000000, 0.0366666667
           9, 0.2158597237, 0.0109558806, 0.0000000000, 0.0000000000, 0.0000000000, 0.0054370212, 0.0034158108, 0.2161105825, 0.0000000000, 19.7026356937, -6.6562770390, -6.3597507283, -6.3125428403, -6.1332309164, 0.0000000000, 5.0000000000, 5.0000000000, 0.0405666667
