"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.8210722408, 0.5956824604, 0.0000000000, 0.0000000000, 0.0000000000, 0.2699039382, 0.5218545478, 0.8698649604, 0.0000000000, 1.3783723634, -4.5832172494, -5.8675490650, -6.9255972827, -4.0389804527, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.2752334798, -0.0169234378, 0.0000000000, 0.0000000000, 0.0000000000, -0.0207241364, -0.0408472174, 0.2727111586, 0.0000000000, -16.2634497228, -4.5965947739, -5.0566388866, -4.8454680064, -4.0466416290, 0.0000000000, 5.0000000000, 5.0000000000, 0.0083166667
           2, 0.3068620277, 0.0649694114, 0.0000000000, 0.0000000000, 0.0000000000, -0.0013497939, 0.0379773952, 0.3113567823, 0.0000000000, 4.7231769713, -5.0475851111, -5.3728264290, -5.1056640679, -4.4988482147, 0.0000000000, 5.0000000000, 5.0000000000, 0.0122166667
           3, 0.2875424112, 0.0306326059, 0.0000000000, 0.0000000000, 0.0000000000, -0.0206900575, 0.0054550671, 0.2891180330, 0.0000000000, 9.3868086970, -5.4645107953, -5.6503549699, -5.4973292296, -4.9280645658, 0.0000000000, 5.0000000000, 5.0000000000, 0.0161166667
           4, 0.3144350268, 0.0289872490, 0.0000000000, 0.0000000000, 0.0000000000, -0.0120295105, 0.0014721255, 0.3157649118, 0.0000000000, 10.8473566040, -5.8327401332, -5.8959068745, -5.7896766982, -5.2910409029, 0.0000000000, 5.0000000000, 5.0000000000, 0.0200166667
           5, 0.3416942346, 0.0274764727, 0.0000000000, 0.0000000000, 0.0000000000, -0.0083031391, -0.0024086984, 0.3427887172, 0.0000000000, 12.4358842879, -6.0299737461, -6.0012537302, -5.9114332907, -5.4932866829, 0.0000000000, 5.0000000000, 5.0000000000, 0.0239166667
           6, 0.3730370684, 0.0285294165, 0.0000000000, 0.0000000000, 0.0000000000, -0.0017961566, -0.0040914694, 0.3741040522, 0.0000000000, 13.0755239609, -6.2441338614, -6.0730762913, -5.9798853830, -5.7165304576, 0.0000000000, 5.0000000000, 5.0000000000, 0.0278166667
           7, 0.4018542795, 0.0297065413, 0.0000000000, 0.0000000000, 0.0000000000, 0.0034444068, -0.0054304093, 0.4029141983, 0.0000000000, 13.5274677479, -6.3264813779, -6.0908719919, -6.0025889310, -5.7958610493, 0.0000000000, 5.0000000000, 5.0000000000, 0.0317166667
           8, 0.4288530620, 0.0308605829, 0.0000000000, 0.0000000000, 0.0000000000, 0.0081744786, -0.0066338581, 0.4299108237, 0.0000000000, 13.8964666909, -6.3719634507, -6.0950046883, -6.0154375287, -5.8415594072, 0.0000000000, 5.0000000000, 5.0000000000, 0.0358666667
           9, 0.4536388582, 0.0316787164, 0.0000000000, 0.0000000000, 0.0000000000, 0.0120407764, -0.0079790623, 0.4546736074, 0.0000000000, 14.3199886033, -6.3930475094, -6.0946973728, -6.0252211360, -5.8620593855, 0.0000000000, 5.0000000000, 5.0000000000, 0.0397666667
          10, 0.4759385605, 0.0322320285, 0.0000000000, 0.0000000000, 0.0000000000, 0.0150728381, -0.0093714028, 0.4769366769, 0.0000000000, 14.7660132693, -6.4064433064, -6.0940718733, -6.0343099988, -5.8748368982, 0.0000000000, 5.0000000000, 5.0000000000, 0.0436666667
          11, 0.4955432794, 0.0324928523, 0.0000000000, 0.0000000000, 0.0000000000, 0.0172416269, -0.0108202354, 0.4964895263, 0.0000000000, 15.2508396210, -6.4182150603, -6.0944405893, -6.0430803577, -5.8862282304, 0.0000000000, 5.0000000000, 5.0000000000, 0.0475666667
          12, 0.5124627239, 0.0324507900, 0.0000000000, 0.0000000000, 0.0000000000, 0.0185991339, -0.0123367644, 0.5133409212, 0.0000000000, 15.7919953282, -6.4284855501, -6.0961724043, -6.0514312589, -5.8963965934, 0.0000000000, 5.0000000000, 5.0000000000, 0.0512166667
          13, 0.5267930851, 0.0321104002, 0.0000000000, 0.0000000000, 0.0000000000, 0.0192138405, -0.0139248322, 0.5275870841, 0.0000000000, 16.4056842084, -6.4367317864, -6.0991154755, -6.0590351117, -5.9047095468, 0.0000000000, 5.0000000000, 5.0000000000, 0.0553666667
          14, 0.5386770686, 0.0314999830, 0.0000000000, 0.0000000000, 0.0000000000, 0.0191718544, -0.0155686840, 0.5393726441, 0.0000000000, 17.1008685548, -6.4429228718, -6.1029264320, -6.0655456276, -5.9110643164, 0.0000000000, 5.0000000000, 5.0000000000, 0.0590166667
          15, 0.5482910161, 0.0306508790, 0.0000000000, 0.0000000000, 0.0000000000, 0.0185676043, -0.0172524676, 0.5488760034, 0.0000000000, 17.8882640436, -6.4473235886, -6.1072333820, -6.0707084919, -5.9156693241, 0.0000000000, 5.0000000000, 5.0000000000, 0.0629166667
          16, 0.5558469087, 0.0295993844, 0.0000000000, 0.0000000000, 0.0000000000, 0.0175000950, -0.0189585003, 0.5563114997, 0.0000000000, 18.7790023149, -6.4501031095, -6.1116441064, -6.0743964396, -5.9186380759, 0.0000000000, 5.0000000000, 5.0000000000, 0.0668166667
          17, 0.5615901964, 0.0283766246, 0.0000000000, 0.0000000000, 0.0000000000, 0.0160695863, -0.0206771677, 0.5619263620, 0.0000000000, 19.7905918927, -6.4515013741, -6.1157516448, -6.0766076150, -5.9201741670, 0.0000000000, 5.0000000000, 5.0000000000, 0.0709666667
          18, 0.5657779592, 0.0270245024, 0.0000000000, 0.0000000000, 0.0000000000, 0.0143743295, -0.0223891323, 0.5659803438, 0.0000000000, 20.9357401609, -6.4518799150, -6.1191791429, -6.0774446462, -5.9206230843, 0.0000000000, 5.0000000000, 5.0000000000, 0.0748666667
          19, 0.5686678550, 0.0255827690, 0.0000000000, 0.0000000000, 0.0000000000, 0.0125083927, -0.0240772504, 0.5687335873, 0.0000000000, 22.2285497662, -6.4517117298, -6.1216429049, -6.0770934961, -5.9204569120, 0.0000000000, 5.0000000000, 5.0000000000, 0.0787666667
          20, 0.5705173767, 0.0240912764, 0.0000000000, 0.0000000000, 0.0000000000, 0.0105581065, -0.0257242639, 0.5704460789, 0.0000000000, 23.6814922780, -6.4514626418, -6.1229911650, -6.0757926308, -5.9201471759, 0.0000000000, 5.0000000000, 5.0000000000, 0.0824166667
          21, 0.5715719658, 0.0225866921, 0.0000000000, 0.0000000000, 0.0000000000, 0.0086013091, -0.0273150363, 0.5713655218, 0.0000000000, 25.3056960613, -6.4515407808, -6.1232245409, -6.0738030148, -5.9201142941, 0.0000000000, 5.0000000000, 5.0000000000, 0.0865666667
          22, 0.5720615801, 0.0211008176, 0.0000000000, 0.0000000000, 0.0000000000, 0.0067056642, -0.0288379293, 0.5717237705, 0.0000000000, 27.1108726705, -6.4522563956, -6.1224882086, -6.0713820729, -5.9206835135, 0.0000000000, 5.0000000000, 5.0000000000, 0.0904666667
          23, 0.5721966055, 0.0196627552, 0.0000000000, 0.0000000000, 0.0000000000, 0.0049277590, -0.0302822876, 0.5717329467, 0.0000000000, 29.1005303413, -6.4538250859, -6.1210429350, -6.0687639689, -5.9220883841, 0.0000000000, 5.0000000000, 5.0000000000, 0.0943666667
          24, 0.5721633050, 0.0182966914, 0.0000000000, 0.0000000000, 0.0000000000, 0.0033124522, -0.0316402508, 0.5715807126, 0.0000000000, 31.2714081261, -6.4563304612, -6.1192230882, -6.0661501251, -5.9244281491, 0.0000000000, 5.0000000000, 5.0000000000, 0.0982666667
