"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -0.6145420783, 0.5784507761, 0.0000000000, 0.0000000000, 0.0000000000, -0.0086733789, 0.5341734107, -0.6533957711, 0.0000000000, -1.0623930397, -4.6603336683, -5.9440689201, -7.0994251914, -4.1160968716, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041500000
           1, -0.0884417703, -0.0345321357, 0.0000000000, 0.0000000000, 0.0000000000, -0.0007394484, -0.0406174032, -0.0858174906, 0.0000000000, 2.5611439420, -4.6761147324, -5.0895114560, -4.9094505675, -4.1249643742, 0.0000000000, 5.0000000000, 5.0000000000, 0.0085666667
           2, -0.1378121840, 0.0595082659, 0.0000000000, 0.0000000000, 0.0000000000, 0.0241328945, 0.0497500148, -0.1416275672, 0.0000000000, -2.3158494340, -5.1409551944, -5.4152749720, -5.2111647472, -4.5918769824, 0.0000000000, 5.0000000000, 5.0000000000, 0.0127333333
           3, -0.1232144543, 0.0268388052, 0.0000000000, 0.0000000000, 0.0000000000, 0.0127381350, 0.0181784213, -0.1247864905, 0.0000000000, -4.5909068430, -5.5438101027, -5.7125002383, -5.5820060496, -5.0079765265, 0.0000000000, 5.0000000000, 5.0000000000, 0.0166333333
           4, -0.1529967642, 0.0262651386, 0.0000000000, 0.0000000000, 0.0000000000, 0.0093340708, 0.0155286433, -0.1544562352, 0.0000000000, -5.8250887700, -5.8957652255, -5.9510307476, -5.8607022578, -5.3578015604, 0.0000000000, 5.0000000000, 5.0000000000, 0.0205333333
           5, -0.1735652091, 0.0242556042, 0.0000000000, 0.0000000000, 0.0000000000, 0.0047687096, 0.0120892218, -0.1748343984, 0.0000000000, -7.1556745402, -6.1075777615, -6.0832163455, -5.9987416039, -5.5736447882, 0.0000000000, 5.0000000000, 5.0000000000, 0.0244333333
           6, -0.1988728668, 0.0247890156, 0.0000000000, 0.0000000000, 0.0000000000, 0.0013028371, 0.0108559609, -0.2001176168, 0.0000000000, -8.0226205864, -6.3296926892, -6.1863599861, -6.0737450537, -5.8019080322, 0.0000000000, 5.0000000000, 5.0000000000, 0.0286000000
           7, -0.2232091169, 0.0255711034, 0.0000000000, 0.0000000000, 0.0000000000, -0.0023683882, 0.0099385326, -0.2244491407, 0.0000000000, -8.7289591495, -6.4490172596, -6.2161365728, -6.1079452971, -5.9213156053, 0.0000000000, 5.0000000000, 5.0000000000, 0.0327500000
           8, -0.2455906656, 0.0263417392, 0.0000000000, 0.0000000000, 0.0000000000, -0.0054366668, 0.0091460333, -0.2468299259, 0.0000000000, -9.3232517225, -6.5096245401, -6.2283683760, -6.1281237983, -5.9820487305, 0.0000000000, 5.0000000000, 5.0000000000, 0.0366500000
           9, -0.2655228350, 0.0268486345, 0.0000000000, 0.0000000000, 0.0000000000, -0.0078557567, 0.0082612959, -0.2667489008, 0.0000000000, -9.8896215889, -6.5366590408, -6.2339904136, -6.1432724185, -6.0083842508, 0.0000000000, 5.0000000000, 5.0000000000, 0.0405500000
          10, -0.2830947251, 0.0271915400, 0.0000000000, 0.0000000000, 0.0000000000, -0.0096758003, 0.0073776130, -0.2843019065, 0.0000000000, -10.4111324736, -6.5556146995, -6.2371423714, -6.1568547674, -6.0267370233, 0.0000000000, 5.0000000000, 5.0000000000, 0.0447166667
          11, -0.2983085018, 0.0273344016, 0.0000000000, 0.0000000000, 0.0000000000, -0.0109765628, 0.0064588672, -0.2994885887, 0.0000000000, -10.9132991451, -6.5692292470, -6.2397009764, -6.1697642860, -6.0399349358, 0.0000000000, 5.0000000000, 5.0000000000, 0.0486166667
          12, -0.3112420095, 0.0272595356, 0.0000000000, 0.0000000000, 0.0000000000, -0.0118028097, 0.0054819877, -0.3123853687, 0.0000000000, -11.4177296902, -6.5792330013, -6.2424395446, -6.1817131081, -6.0498412656, 0.0000000000, 5.0000000000, 5.0000000000, 0.0527666667
          13, -0.3220285469, 0.0269736554, 0.0000000000, 0.0000000000, 0.0000000000, -0.0122142954, 0.0044443731, -0.3231256886, 0.0000000000, -11.9386320503, -6.5871837277, -6.2456694949, -6.1921935850, -6.0578895506, 0.0000000000, 5.0000000000, 5.0000000000, 0.0566666667
          14, -0.3308368160, 0.0264998194, 0.0000000000, 0.0000000000, 0.0000000000, -0.0122759240, 0.0033572575, -0.3318794481, 0.0000000000, -12.4844932388, -6.5938560499, -6.2494252573, -6.2009247432, -6.0647319350, 0.0000000000, 5.0000000000, 5.0000000000, 0.0603166667
          15, -0.3378670476, 0.0258679944, 0.0000000000, 0.0000000000, 0.0000000000, -0.0120502067, 0.0022365674, -0.3388484805, 0.0000000000, -13.0611999600, -6.5992967372, -6.2536192658, -6.2078720629, -6.0703135770, 0.0000000000, 5.0000000000, 5.0000000000, 0.0644666667
          16, -0.3433380784, 0.0251057621, 0.0000000000, 0.0000000000, 0.0000000000, -0.0115995748, 0.0010945521, -0.3442530136, 0.0000000000, -13.6756684422, -6.6036350549, -6.2580930565, -6.2131406327, -6.0747026806, 0.0000000000, 5.0000000000, 5.0000000000, 0.0683666667
          17, -0.3474742322, 0.0242350525, 0.0000000000, 0.0000000000, 0.0000000000, -0.0109871628, -0.0000625601, -0.3483183543, 0.0000000000, -14.3376719596, -6.6072525558, -6.2626458432, -6.2169113595, -6.0782607619, 0.0000000000, 5.0000000000, 5.0000000000, 0.0722666667
          18, -0.3505054420, 0.0232871584, 0.0000000000, 0.0000000000, 0.0000000000, -0.0102703745, -0.0012195916, -0.3512760584, 0.0000000000, -15.0514475195, -6.6105920793, -6.2670705219, -6.2194249324, -6.0814378231, 0.0000000000, 5.0000000000, 5.0000000000, 0.0761666667
          19, -0.3526540709, 0.0222893656, 0.0000000000, 0.0000000000, 0.0000000000, -0.0095017479, -0.0023648347, -0.3533498508, 0.0000000000, -15.8216289303, -6.6140498390, -6.2711933878, -6.2209580995, -6.0846529658, 0.0000000000, 5.0000000000, 5.0000000000, 0.0800666667
          20, -0.3541340769, 0.0212663452, 0.0000000000, 0.0000000000, 0.0000000000, -0.0087271264, -0.0034886030, -0.3547548894, 0.0000000000, -16.6523242993, -6.6179512848, -6.2748865152, -6.2217850787, -6.0882592358, 0.0000000000, 5.0000000000, 5.0000000000, 0.0839666667
          21, -0.3551450077, 0.0202467082, 0.0000000000, 0.0000000000, 0.0000000000, -0.0079851017, -0.0045762751, -0.3556922313, 0.0000000000, -17.5408764494, -6.6224930763, -6.2780887670, -6.2221432528, -6.0924821547, 0.0000000000, 5.0000000000, 5.0000000000, 0.0878666667
          22, -0.3558639839, 0.0192507717, 0.0000000000, 0.0000000000, 0.0000000000, -0.0073072753, -0.0056199389, -0.3563399830, 0.0000000000, -18.4856997072, -6.6278217665, -6.2808092028, -6.2222269416, -6.0974963347, 0.0000000000, 5.0000000000, 5.0000000000, 0.0917666667
          23, -0.3564465176, 0.0182951422, 0.0000000000, 0.0000000000, 0.0000000000, -0.0067182977, -0.0066138760, -0.3568544364, 0.0000000000, -19.4831236307, -6.6339698928, -6.2831229202, -6.2221813696, -6.1033622463, 0.0000000000, 5.0000000000, 5.0000000000, 0.0959333333
          24, -0.3570278201, 0.0173966112, 0.0000000000, 0.0000000000, 0.0000000000, -0.0062348386, -0.0075507678, -0.3573716445, 0.0000000000, -20.5228372376, -6.6408831316, -6.2851606758, -6.2221070929, -6.1100493372, 0.0000000000, 5.0000000000, 5.0000000000, 0.0998333333
          25, -0.3577160970, 0.0165663673, 0.0000000000, 0.0000000000, 0.0000000000, -0.0058670317, -0.0084270011, -0.3580003299, 0.0000000000, -21.5929111270, -6.6484252495, -6.2870917773, -6.2220683606, -6.1174406200, 0.0000000000, 5.0000000000, 5.0000000000, 0.1037333333
          26, -0.3585954438, 0.0158126151, 0.0000000000, 0.0000000000, 0.0000000000, -0.0056187046, -0.0092402573, -0.3588249556, 0.0000000000, -22.6778076293, -6.6563857927, -6.2891000001, -6.2221039867, -6.1253399092, 0.0000000000, 5.0000000000, 5.0000000000, 0.1076333333
          27, -0.3597228904, 0.0151394446, 0.0000000000, 0.0000000000, 0.0000000000, -0.0054884347, -0.0099904347, -0.3599026978, 0.0000000000, -23.7606398961, -6.6645026842, -6.2913630344, -6.2222354473, -6.1334910844, 0.0000000000, 5.0000000000, 5.0000000000, 0.1112666667
          28, -0.3611340093, 0.0145484012, 0.0000000000, 0.0000000000, 0.0000000000, -0.0054693996, -0.0106784730, -0.3612691502, 0.0000000000, -24.8229344008, -6.6724916656, -6.2940356142, -6.2224772387, -6.1416059284, 0.0000000000, 5.0000000000, 5.0000000000, 0.1151666667
          29, -0.3628424534, 0.0140402007, 0.0000000000, 0.0000000000, 0.0000000000, -0.0055507882, -0.0113046106, -0.3629379823, 0.0000000000, -25.8431101404, -6.6800679490, -6.2972347691, -6.2228422496, -6.1493872247, 0.0000000000, 5.0000000000, 5.0000000000, 0.1190666667
          30, -0.3648421629, 0.0136089853, 0.0000000000, 0.0000000000, 0.0000000000, -0.0057196130, -0.0118742683, -0.3649027405, 0.0000000000, -26.8089174345, -6.6869936375, -6.3010349684, -6.2233480611, -6.1565741142, 0.0000000000, 5.0000000000, 5.0000000000, 0.1229666667
          31, -0.3671107739, 0.0132508484, 0.0000000000, 0.0000000000, 0.0000000000, -0.0059598438, -0.0123897831, -0.3671408429, 0.0000000000, -27.7046996640, -6.6930925659, -6.3054599885, -6.2240181210, -6.1629604596, 0.0000000000, 5.0000000000, 5.0000000000, 0.1266166667
          32, -0.3696125231, 0.0129588651, 0.0000000000, 0.0000000000, 0.0000000000, -0.0062545387, -0.0128555684, -0.3696161303, 0.0000000000, -28.5219825594, -6.6982918506, -6.3104892522, -6.2248816934, -6.1684391918, 0.0000000000, 5.0000000000, 5.0000000000, 0.1305166667
