"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 2.4574813836, 1.2005387252, 0.0000000000, 0.0000000000, 0.0000000000, 0.6048411311, 0.4766582205, 2.6931960423, 0.0000000000, 2.0469821856, -4.2587818150, -5.5586162196, -6.1011197815, -3.7145450183, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.6730053447, 0.1341658250, 0.0000000000, 0.0000000000, 0.0000000000, -0.0390039627, -0.0565369452, 0.6839153722, 0.0000000000, 5.0162203739, -4.2566554705, -4.7339611496, -4.4816916705, -3.7067674348, 0.0000000000, 5.0000000000, 5.0000000000, 0.0083333333
           2, 0.7962127767, 0.2287015592, 0.0000000000, 0.0000000000, 0.0000000000, -0.0291606284, 0.0003760642, 0.8284075371, 0.0000000000, 3.4814488347, -4.6993064399, -5.0442869982, -4.7440593675, -4.1506651151, 0.0000000000, 5.0000000000, 5.0000000000, 0.0122333333
           3, 0.7313899767, 0.1721485273, 0.0000000000, 0.0000000000, 0.0000000000, -0.0584812260, -0.0361186139, 0.7505077342, 0.0000000000, 4.2485985104, -5.1334875948, -5.3033707884, -5.1287484976, -4.5976423578, 0.0000000000, 5.0000000000, 5.0000000000, 0.0163833333
           4, 0.8181640341, 0.1857695331, 0.0000000000, 0.0000000000, 0.0000000000, -0.0358894532, -0.0469434346, 0.8376747699, 0.0000000000, 4.4041884618, -5.4827490664, -5.5130472850, -5.3871912154, -4.9414305264, 0.0000000000, 5.0000000000, 5.0000000000, 0.0202833333
           5, 0.8944028587, 0.1972440440, 0.0000000000, 0.0000000000, 0.0000000000, -0.0223979893, -0.0569276947, 0.9141230355, 0.0000000000, 4.5344986874, -5.6654397367, -5.5957887944, -5.4831197502, -5.1283799203, 0.0000000000, 5.0000000000, 5.0000000000, 0.0244500000
           6, 0.9852018717, 0.2144992448, 0.0000000000, 0.0000000000, 0.0000000000, -0.0037728227, -0.0653685310, 1.0061608267, 0.0000000000, 4.5930318901, -5.8322132551, -5.6411673563, -5.5302982482, -5.3017100221, 0.0000000000, 5.0000000000, 5.0000000000, 0.0283500000
           7, 1.0698675190, 0.2297914014, 0.0000000000, 0.0000000000, 0.0000000000, 0.0127604899, -0.0740057818, 1.0917617600, 0.0000000000, 4.6558205069, -5.8925788993, -5.6510117744, -5.5471244858, -5.3606169655, 0.0000000000, 5.0000000000, 5.0000000000, 0.0322500000
           8, 1.1488031559, 0.2429939863, 0.0000000000, 0.0000000000, 0.0000000000, 0.0278110554, -0.0830722529, 1.1712786898, 0.0000000000, 4.7277020040, -5.9293980962, -5.6511959530, -5.5578838776, -5.3968333737, 0.0000000000, 5.0000000000, 5.0000000000, 0.0361500000
           9, 1.2205406075, 0.2533832858, 0.0000000000, 0.0000000000, 0.0000000000, 0.0405151910, -0.0928589387, 1.2431008333, 0.0000000000, 4.8169736355, -5.9450813390, -5.6497875597, -5.5677613972, -5.4110620629, 0.0000000000, 5.0000000000, 5.0000000000, 0.0397833333
          10, 1.2846026437, 0.2609950404, 0.0000000000, 0.0000000000, 0.0000000000, 0.0509694157, -0.1031999408, 1.3067792987, 0.0000000000, 4.9219427379, -5.9549308579, -5.6484797812, -5.5774817164, -5.4200038016, 0.0000000000, 5.0000000000, 5.0000000000, 0.0436833333
          11, 1.3405015263, 0.2657699328, 0.0000000000, 0.0000000000, 0.0000000000, 0.0591748802, -0.1140178398, 1.3618288922, 0.0000000000, 5.0438419125, -5.9640291953, -5.6481275439, -5.5868634389, -5.4287017446, 0.0000000000, 5.0000000000, 5.0000000000, 0.0475833333
          12, 1.3882431280, 0.2678068931, 0.0000000000, 0.0000000000, 0.0000000000, 0.0652555237, -0.1252191568, 1.4082825275, 0.0000000000, 5.1837468113, -5.9725389953, -5.6491217848, -5.5957065608, -5.4370793903, 0.0000000000, 5.0000000000, 5.0000000000, 0.0514833333
          13, 1.4282044674, 0.2672991719, 0.0000000000, 0.0000000000, 0.0000000000, 0.0693748415, -0.1367220477, 1.4465558854, 0.0000000000, 5.3430934983, -5.9800062763, -5.6513746080, -5.6037209150, -5.4445316012, 0.0000000000, 5.0000000000, 5.0000000000, 0.0551333333
          14, 1.4607992553, 0.2644952363, 0.0000000000, 0.0000000000, 0.0000000000, 0.0717392390, -0.1484017047, 1.4771151371, 0.0000000000, 5.5229700009, -5.9865880896, -5.6546639954, -5.6106141823, -5.4511753048, 0.0000000000, 5.0000000000, 5.0000000000, 0.0595500000
          15, 1.4865466571, 0.2596746530, 0.0000000000, 0.0000000000, 0.0000000000, 0.0725683111, -0.1601324926, 1.5005363954, 0.0000000000, 5.7246505967, -5.9924559638, -5.6587369248, -5.6161809518, -5.4571568692, 0.0000000000, 5.0000000000, 5.0000000000, 0.0631833333
          16, 1.5061164608, 0.2531500744, 0.0000000000, 0.0000000000, 0.0000000000, 0.0720893292, -0.1717984890, 1.5175496806, 0.0000000000, 5.9495003679, -5.9976061227, -5.6632915910, -5.6203300682, -5.4624461909, 0.0000000000, 5.0000000000, 5.0000000000, 0.0670833333
          17, 1.5202214859, 0.2452479241, 0.0000000000, 0.0000000000, 0.0000000000, 0.0705320330, -0.1832823952, 1.5289301730, 0.0000000000, 6.1987129619, -6.0019949142, -5.6679702632, -5.6230622408, -5.4669802680, 0.0000000000, 5.0000000000, 5.0000000000, 0.0709833333
          18, 1.5295467330, 0.2362709001, 0.0000000000, 0.0000000000, 0.0000000000, 0.0681382981, -0.1944820509, 1.5354197727, 0.0000000000, 6.4736991830, -6.0057028903, -5.6724110146, -5.6244678487, -5.4708320122, 0.0000000000, 5.0000000000, 5.0000000000, 0.0748833333
          19, 1.5348643465, 0.2265463071, 0.0000000000, 0.0000000000, 0.0000000000, 0.0651205790, -0.2052956626, 1.5378509298, 0.0000000000, 6.7750578948, -6.0088286798, -5.6762818437, -5.6246975117, -5.4740946545, 0.0000000000, 5.0000000000, 5.0000000000, 0.0790500000
