"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.4428505943, 0.7439651342, 0.0000000000, 0.0000000000, 0.0000000000, 0.3922458875, 0.5090941280, 1.5414684970, 0.0000000000, 1.9394062005, -4.4463345484, -5.7343906630, -6.5346781487, -3.9020977517, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.4293716387, 0.0226698002, 0.0000000000, 0.0000000000, 0.0000000000, -0.0287097766, -0.0447778253, 0.4276316994, 0.0000000000, 18.9402480692, -4.4502127227, -4.9236425150, -4.6856569964, -3.9003610857, 0.0000000000, 5.0000000000, 5.0000000000, 0.0085833333
           2, 0.4965357837, 0.1059769206, 0.0000000000, 0.0000000000, 0.0000000000, -0.0123482254, 0.0269968591, 0.5070010471, 0.0000000000, 4.6853199841, -4.8962535018, -5.2356840544, -4.9453320344, -4.3475838972, 0.0000000000, 5.0000000000, 5.0000000000, 0.0127333333
           3, 0.4614759819, 0.0663011135, 0.0000000000, 0.0000000000, 0.0000000000, -0.0352033946, -0.0067059115, 0.4661662260, 0.0000000000, 6.9603051476, -5.3234403304, -5.5005306642, -5.3327541322, -4.7872741405, 0.0000000000, 5.0000000000, 5.0000000000, 0.0166333333
           4, 0.5122563941, 0.0683660299, 0.0000000000, 0.0000000000, 0.0000000000, -0.0213050929, -0.0126102244, 0.5166444712, 0.0000000000, 7.4928498117, -5.6807778454, -5.7235687236, -5.6025528345, -5.1391652050, 0.0000000000, 5.0000000000, 5.0000000000, 0.0205333333
           5, 0.5593507088, 0.0702502481, 0.0000000000, 0.0000000000, 0.0000000000, -0.0139593404, -0.0181163779, 0.5634537333, 0.0000000000, 7.9622595490, -5.8675355687, -5.8117365296, -5.7050197894, -5.3304522177, 0.0000000000, 5.0000000000, 5.0000000000, 0.0244333333
           6, 0.6144324996, 0.0754443405, 0.0000000000, 0.0000000000, 0.0000000000, -0.0030401357, -0.0216029239, 0.6186699110, 0.0000000000, 8.1441827948, -6.0496123666, -5.8636044949, -5.7579887447, -5.5200518000, 0.0000000000, 5.0000000000, 5.0000000000, 0.0280833333
           7, 0.6655541840, 0.0802071511, 0.0000000000, 0.0000000000, 0.0000000000, 0.0062239232, -0.0248959447, 0.6699072704, 0.0000000000, 8.2979407016, -6.1155683807, -5.8752503448, -5.7763953946, -5.5839245817, 0.0000000000, 5.0000000000, 5.0000000000, 0.0322333333
           8, 0.7132912392, 0.0844091497, 0.0000000000, 0.0000000000, 0.0000000000, 0.0145473549, -0.0282134005, 0.7177139405, 0.0000000000, 8.4504019066, -6.1549760155, -5.8763997874, -5.7879983456, -5.6229992700, 0.0000000000, 5.0000000000, 5.0000000000, 0.0364000000
           9, 0.7568533532, 0.0876293030, 0.0000000000, 0.0000000000, 0.0000000000, 0.0213920819, -0.0318475085, 0.7612434757, 0.0000000000, 8.6369893050, -6.1730394826, -5.8752819489, -5.7982800970, -5.6398874419, 0.0000000000, 5.0000000000, 5.0000000000, 0.0403000000
          10, 0.7958928889, 0.0899260304, 0.0000000000, 0.0000000000, 0.0000000000, 0.0268211203, -0.0356861866, 0.8001616572, 0.0000000000, 8.8505284354, -6.1847707355, -5.8743043680, -5.8083742476, -5.6508055730, 0.0000000000, 5.0000000000, 5.0000000000, 0.0439333333
          11, 0.8300980332, 0.0912610807, 0.0000000000, 0.0000000000, 0.0000000000, 0.0308248532, -0.0397184363, 0.8341545272, 0.0000000000, 9.0958602106, -6.1954728025, -5.8744418034, -5.8181985000, -5.6611277053, 0.0000000000, 5.0000000000, 5.0000000000, 0.0478333333
          12, 0.8595119784, 0.0916609350, 0.0000000000, 0.0000000000, 0.0000000000, 0.0334859361, -0.0439248597, 0.8632688890, 0.0000000000, 9.3770806294, -6.2051167735, -5.8760554009, -5.8275453537, -5.6706707599, 0.0000000000, 5.0000000000, 5.0000000000, 0.0517333333
          13, 0.8843092360, 0.0911739745, 0.0000000000, 0.0000000000, 0.0000000000, 0.0349225862, -0.0482849707, 0.8876846738, 0.0000000000, 9.6991410196, -6.2131425014, -5.8789962162, -5.8360910089, -5.6787354861, 0.0000000000, 5.0000000000, 5.0000000000, 0.0559000000
          14, 0.9047734096, 0.0898779893, 0.0000000000, 0.0000000000, 0.0000000000, 0.0352815662, -0.0527663023, 0.9076941627, 0.0000000000, 10.0666850372, -6.2195847964, -5.8829434330, -5.8434964780, -5.6853042758, 0.0000000000, 5.0000000000, 5.0000000000, 0.0598000000
          15, 0.9212234297, 0.0878732342, 0.0000000000, 0.0000000000, 0.0000000000, 0.0347123901, -0.0573197255, 0.9236280430, 0.0000000000, 10.4835498308, -6.2246631802, -5.8875509563, -5.8495169484, -5.6905582262, 0.0000000000, 5.0000000000, 5.0000000000, 0.0637000000
          16, 0.9340473402, 0.0852631666, 0.0000000000, 0.0000000000, 0.0000000000, 0.0333756362, -0.0619037604, 0.9358857654, 0.0000000000, 10.9548750910, -6.2285146919, -5.8924363327, -5.8540312555, -5.6945962960, 0.0000000000, 5.0000000000, 5.0000000000, 0.0673333333
          17, 0.9436925366, 0.0821651245, 0.0000000000, 0.0000000000, 0.0000000000, 0.0314308146, -0.0664725017, 0.9449275728, 0.0000000000, 11.4853174307, -6.2312733656, -5.8971780799, -5.8570330696, -5.6975223039, 0.0000000000, 5.0000000000, 5.0000000000, 0.0712333333
