"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.2894576689, 0.6989478056, 0.0000000000, 0.0000000000, 0.0000000000, 0.3617091504, 0.5126878713, 1.3741834890, 0.0000000000, 1.8448554506, -4.4788884144, -5.7658116807, -6.6180091521, -3.9346516177, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.3914441958, 0.0109887014, 0.0000000000, 0.0000000000, 0.0000000000, -0.0268703118, -0.0435967424, 0.3891640194, 0.0000000000, 35.6224252955, -4.4845172505, -4.9559895449, -4.7225875028, -3.9346591587, 0.0000000000, 5.0000000000, 5.0000000000, 0.0083333333
           2, 0.4500134713, 0.0935855808, 0.0000000000, 0.0000000000, 0.0000000000, -0.0096856865, 0.0300450421, 0.4586585666, 0.0000000000, 4.8085769979, -4.9314033000, -5.2687774743, -4.9819765802, -4.3827221754, 0.0000000000, 5.0000000000, 5.0000000000, 0.0124833333
           3, 0.4190231158, 0.0555390031, 0.0000000000, 0.0000000000, 0.0000000000, -0.0316343997, -0.0033182450, 0.4226747469, 0.0000000000, 7.5446639675, -5.3568055343, -5.5357204373, -5.3702707488, -4.8205772472, 0.0000000000, 5.0000000000, 5.0000000000, 0.0161333333
           4, 0.4639860641, 0.0564523505, 0.0000000000, 0.0000000000, 0.0000000000, -0.0190335187, -0.0086714193, 0.4673272323, 0.0000000000, 8.2190743227, -5.7162665977, -5.7626481881, -5.6437633740, -5.1746039524, 0.0000000000, 5.0000000000, 5.0000000000, 0.0200333333
           5, 0.5062932892, 0.0573199534, 0.0000000000, 0.0000000000, 0.0000000000, -0.0125852832, -0.0137002875, 0.5093434734, 0.0000000000, 8.8327582109, -5.9046698642, -5.8533254997, -5.7489834146, -5.3676414814, 0.0000000000, 5.0000000000, 5.0000000000, 0.0239333333
           6, 0.5556196406, 0.0612732536, 0.0000000000, 0.0000000000, 0.0000000000, -0.0027693266, -0.0166503618, 0.5587399772, 0.0000000000, 9.0678984370, -6.0918438822, -5.9078841800, -5.8040454247, -5.5625955113, 0.0000000000, 5.0000000000, 5.0000000000, 0.0278333333
           7, 0.6013280765, 0.0649606529, 0.0000000000, 0.0000000000, 0.0000000000, 0.0054807408, -0.0193602328, 0.6045167685, 0.0000000000, 9.2568046842, -6.1599882391, -5.9203182317, -5.8229808985, -5.6284749678, 0.0000000000, 5.0000000000, 5.0000000000, 0.0317333333
           8, 0.6440319349, 0.0682437789, 0.0000000000, 0.0000000000, 0.0000000000, 0.0128911367, -0.0220522864, 0.6472619587, 0.0000000000, 9.4372255654, -6.2002481587, -5.9218445726, -5.8347424435, -5.6684837381, 0.0000000000, 5.0000000000, 5.0000000000, 0.0356333333
           9, 0.6830403853, 0.0707392812, 0.0000000000, 0.0000000000, 0.0000000000, 0.0189705157, -0.0250099971, 0.6862380884, 0.0000000000, 9.6557439361, -6.2188177466, -5.9208168803, -5.8449637664, -5.6859648654, 0.0000000000, 5.0000000000, 5.0000000000, 0.0395333333
