"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, -3.4226719637, 4.6483874036, 0.0000000000, 0.0000000000, 0.0000000000, 1.4253079712, 4.5261062026, -3.5828133453, 0.0000000000, -0.7363138367, -2.1893863252, -1.0135328686, -2.4704490636, 3.2724387501, 0.0000000000, 5.0000000000, 0.0057620684
           1, -0.8443744096, -0.1049509124, 0.0000000000, 0.0000000000, 0.0000000000, 0.0916367495, -0.1343552211, -0.8401973055, 0.0000000000, 8.0454222877, -2.0891576610, -0.0871760689, 0.0854161866, 3.3765012623, 0.0000000000, 5.0000000000, 0.0130967159
           2, -0.9511753070, 0.7908652860, 0.0000000000, 0.0000000000, 0.0000000000, 0.5178151251, 0.7571879728, -0.9781966771, 0.0000000000, -1.2027020578, -2.2962887324, 0.0017144619, 0.0737137271, 3.1694650814, 0.0000000000, 5.0000000000, 0.0184948639
           3, 0.5468765256, -0.6946025467, 0.0000000000, 0.0000000000, 0.0000000000, -0.3857744607, -0.6750936981, 0.5707846625, 0.0000000000, -0.7873229492, -2.4819112516, -0.0515079620, -0.0205932229, 2.9845701762, 0.0000000000, 5.0000000000, 0.0241477319
           4, 1.6933793800, -0.7863361276, 0.0000000000, 0.0000000000, 0.0000000000, 0.0270237688, -0.7267590248, 1.7197905541, 0.0000000000, -2.1535057599, -2.5006702049, -0.1011464952, -0.0816393572, 2.9705574626, 0.0000000000, 5.0000000000, 0.0306299724
           5, 0.8009362614, -0.3646195601, 0.0000000000, 0.0000000000, 0.0000000000, -0.1775760885, -0.3364451713, 0.8131733918, 0.0000000000, -2.1966354771, -2.5049591963, -0.1158461006, -0.1261993453, 2.9638821895, 0.0000000000, 5.0000000000, 0.0361295452
           6, 0.6947015810, -0.0455856896, 0.0000000000, 0.0000000000, 0.0000000000, 0.1548652910, -0.0213131845, 0.6958693052, 0.0000000000, -15.2394663214, -2.5036159878, -0.0926012241, -0.0976260520, 2.9643999069, 0.0000000000, 5.0000000000, 0.0408956539
           7, -0.2445446824, 0.2577083218, 0.0000000000, 0.0000000000, 0.0000000000, 0.1503579131, 0.2490168466, -0.2533896031, 0.0000000000, -0.9489203944, -2.5103848974, -0.0847843708, -0.0865091218, 2.9593032815, 0.0000000000, 5.0000000000, 0.0466222795
           8, -0.3519603679, 0.2239789554, 0.0000000000, 0.0000000000, 0.0000000000, 0.1628333553, 0.2115592738, -0.3595627160, 0.0000000000, -1.5713992738, -2.5159125819, -0.0768149353, -0.0901862816, 2.9516799057, 0.0000000000, 5.0000000000, 0.0529547669
           9, -0.3023519823, 0.0892629877, 0.0000000000, 0.0000000000, 0.0000000000, 0.0632626671, 0.0786566791, -0.3052830310, 0.0000000000, -3.3872043731, -2.5013637852, -0.0821300270, -0.1050483277, 2.9673141539, 0.0000000000, 5.0000000000, 0.0579905054
