"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
          22, 0.0273401247, -0.1180608264, 0.0000000000, 0.0000000000, 0.0000000000, 0.0190752575, -0.1158660855, 0.0355090324, 0.0000000000, -0.2315765993, -3.0401310122, -0.5957011397, -0.6172725744, 2.4277508218, 0.0000000000, 5.0000000000, 0.1510043910
          23, 0.4837134291, -0.1649334007, 0.0000000000, 0.0000000000, 0.0000000000, 0.1036887292, -0.1307894881, 0.4940403000, 0.0000000000, -2.9327803040, -3.0269689330, -0.6720350565, -0.7247285314, 2.4465667363, 0.0000000000, 5.0000000000, 0.1572148279
          24, 0.6504335701, -0.1071062858, 0.0000000000, 0.0000000000, 0.0000000000, 0.1777983580, -0.0614734280, 0.6563205035, 0.0000000000, -6.0727861621, -3.0616313505, -0.6513385998, -0.6723075732, 2.4082251831, 0.0000000000, 5.0000000000, 0.1634742846
          25, 0.5201326239, -0.0015861899, 0.0000000000, 0.0000000000, 0.0000000000, 0.2081492735, 0.0347002917, 0.5189762540, 0.0000000000, -327.9132163135, -3.1293880306, -0.6382127106, -0.6241149593, 2.3334350208, 0.0000000000, 5.0000000000, 0.1697557852
          26, 0.2065781794, 0.0837300439, 0.0000000000, 0.0000000000, 0.0000000000, 0.1755858103, 0.0979362470, 0.2002342528, 0.0000000000, 2.4671930159, -3.1615403519, -0.6845774935, -0.6678373636, 2.3025862926, 0.0000000000, 5.0000000000, 0.1760600139
          27, -0.1366912203, 0.1130527669, 0.0000000000, 0.0000000000, 0.0000000000, 0.0922236390, 0.1032422786, -0.1442444097, 0.0000000000, -1.2090922144, -3.1525385859, -0.7579976702, -0.7742458027, 2.3185908811, 0.0000000000, 5.0000000000, 0.1822870853
          28, -0.3812755975, 0.0920716859, 0.0000000000, 0.0000000000, 0.0000000000, -0.0004724320, 0.0652509627, -0.3867694255, 0.0000000000, -4.1410732700, -3.1542353873, -0.7734933365, -0.8059053336, 2.3179643459, 0.0000000000, 5.0000000000, 0.1885149122
          29, -0.4557629741, 0.0486277604, 0.0000000000, 0.0000000000, 0.0000000000, -0.0546921543, 0.0167168877, -0.4580448595, 0.0000000000, -9.3724853970, -3.1870465976, -0.7416638338, -0.7515589780, 2.2798193420, 0.0000000000, 5.0000000000, 0.1950500638
          30, -0.3538607983, 0.0078727963, 0.0000000000, 0.0000000000, 0.0000000000, -0.0447567129, -0.0168304629, -0.3535479897, 0.0000000000, -44.9472822501, -3.2361380518, -0.7484447239, -0.7529832585, 2.2263415209, 0.0000000000, 5.0000000000, 0.2013835205
          31, -0.1295598582, -0.0190963526, 0.0000000000, 0.0000000000, 0.0000000000, 0.0187586450, -0.0280874737, -0.1279121627, 0.0000000000, 6.7845342451, -3.2603537346, -0.8144878282, -0.8388754619, 2.2069819396, 0.0000000000, 5.0000000000, 0.2080778828
          32, 0.1206700798, -0.0311758957, 0.0000000000, 0.0000000000, 0.0000000000, 0.0980542060, -0.0226824335, 0.1225508541, 0.0000000000, -3.8706211052, -3.2575896829, -0.8800993107, -0.9212124963, 2.2144775157, 0.0000000000, 5.0000000000, 0.2143902648
          33, 0.2918839382, -0.0287683446, 0.0000000000, 0.0000000000, 0.0000000000, 0.1523521692, -0.0083374721, 0.2931797018, 0.0000000000, -10.1460108943, -3.2779040891, -0.8743795486, -0.8829074025, 2.1909994469, 0.0000000000, 5.0000000000, 0.2208740946
          34, 0.3139777320, -0.0114321606, 0.0000000000, 0.0000000000, 0.0000000000, 0.1602096845, 0.0104976670, 0.3140103652, 0.0000000000, -27.4644262850, -3.3373431969, -0.8673716558, -0.8500240644, 2.1254865954, 0.0000000000, 5.0000000000, 0.2275233357
          35, 0.1844705379, 0.0176719980, 0.0000000000, 0.0000000000, 0.0000000000, 0.1267817039, 0.0304969641, 0.1827884406, 0.0000000000, 10.4385784800, -3.3910249241, -0.9204509464, -0.9025088864, 2.0730568124, 0.0000000000, 5.0000000000, 0.2346656675
          36, -0.0297215177, 0.0479440886, 0.0000000000, 0.0000000000, 0.0000000000, 0.0751054070, 0.0457540310, -0.0329935282, 0.0000000000, -0.6199203821, -3.4025870059, -1.0042676077, -1.0140882341, 2.0678698901, 0.0000000000, 5.0000000000, 0.2416499288
          37, -0.2259539057, 0.0645798311, 0.0000000000, 0.0000000000, 0.0000000000, 0.0305862485, 0.0486607702, -0.2299083546, 0.0000000000, -3.4988308558, -3.4170684969, -1.0274045210, -1.0610934411, 2.0533758169, 0.0000000000, 5.0000000000, 0.2481819374
          38, -0.3176715327, 0.0577460538, 0.0000000000, 0.0000000000, 0.0000000000, 0.0091867505, 0.0354457413, -0.3209258618, 0.0000000000, -5.5011816734, -3.4683525156, -1.0091188199, -1.0339123754, 1.9969790146, 0.0000000000, 5.0000000000, 0.2543358641
          39, -0.2756609055, 0.0302720812, 0.0000000000, 0.0000000000, 0.0000000000, 0.0139508134, 0.0109692072, -0.2771010830, 0.0000000000, -9.1061101465, -3.5351977687, -1.0318622846, -1.0557556370, 1.9269776684, 0.0000000000, 5.0000000000, 0.2604922426
          40, -0.1367886101, -0.0029023765, 0.0000000000, 0.0000000000, 0.0000000000, 0.0380090549, -0.0124371976, -0.1362529403, 0.0000000000, 47.1298633255, -3.5690206158, -1.1082660469, -1.1510221959, 1.8978358460, 0.0000000000, 5.0000000000, 0.2667092008
          41, 0.0217743064, -0.0237100100, 0.0000000000, 0.0000000000, 0.0000000000, 0.0697185508, -0.0221333548, 0.0233751919, 0.0000000000, -0.9183592226, -3.5729715208, -1.1831072495, -1.2252853433, 1.8982561032, 0.0000000000, 5.0000000000, 0.2730231365
          42, 0.1252716977, -0.0220064416, 0.0000000000, 0.0000000000, 0.0000000000, 0.0970433420, -0.0132143231, 0.1265016339, 0.0000000000, -5.6925013214, -3.5936538868, -1.1878133991, -1.1740932972, 1.8755570886, 0.0000000000, 5.0000000000, 0.2795798331
          43, 0.1363646291, -0.0010469435, 0.0000000000, 0.0000000000, 0.0000000000, 0.1107322372, 0.0084679225, 0.1361054828, 0.0000000000, -130.2502279452, -3.6455001280, -1.1757934442, -1.1278149022, 1.8182369266, 0.0000000000, 5.0000000000, 0.2858862711
          44, 0.0658125209, 0.0257761832, 0.0000000000, 0.0000000000, 0.0000000000, 0.1067913144, 0.0303042431, 0.0638541493, 0.0000000000, 2.5532298692, -3.6948709732, -1.2104791744, -1.1607699753, 1.7681366228, 0.0000000000, 5.0000000000, 0.2919960673
          45, -0.0417698376, 0.0438541065, 0.0000000000, 0.0000000000, 0.0000000000, 0.0879632087, 0.0408335636, -0.0447271962, 0.0000000000, -0.9524726610, -3.7056191693, -1.2778437994, -1.2589895221, 1.7634684805, 0.0000000000, 5.0000000000, 0.2986665897
          46, -0.1347131193, 0.0456012263, 0.0000000000, 0.0000000000, 0.0000000000, 0.0630094950, 0.0360930318, -0.1375659457, 0.0000000000, -2.9541556268, -3.7078373724, -1.2991058872, -1.3236977982, 1.7631918195, 0.0000000000, 5.0000000000, 0.3051181840
          47, -0.1780477556, 0.0331917220, 0.0000000000, 0.0000000000, 0.0000000000, 0.0431202183, 0.0206908850, -0.1799293777, 0.0000000000, -5.3642217058, -3.7390000408, -1.2711633998, -1.3003808996, 1.7276288174, 0.0000000000, 5.0000000000, 0.3113998984
          48, -0.1642918107, 0.0153324158, 0.0000000000, 0.0000000000, 0.0000000000, 0.0367068508, 0.0038346494, -0.1649611393, 0.0000000000, -10.7153245326, -3.7892472617, -1.2747453232, -1.3017967515, 1.6730613511, 0.0000000000, 5.0000000000, 0.3191589606
          49, -0.1102740038, 0.0013220842, 0.0000000000, 0.0000000000, 0.0000000000, 0.0453645386, -0.0063734620, -0.1100976058, 0.0000000000, -83.4092134490, -3.8142959623, -1.3320138682, -1.3663085079, 1.6518996659, 0.0000000000, 5.0000000000, 0.3254701880
          50, -0.0453209200, -0.0035932272, 0.0000000000, 0.0000000000, 0.0000000000, 0.0634315163, -0.0067459018, -0.0449598697, 0.0000000000, 12.6128736154, -3.8092119266, -1.3912535501, -1.4096601148, 1.6619568676, 0.0000000000, 5.0000000000, 0.3325795501
          51, 0.0023194330, 0.0005205497, 0.0000000000, 0.0000000000, 0.0000000000, 0.0814066301, 0.0006810771, 0.0022774713, 0.0000000000, 4.4557381232, -3.8194571130, -1.3876545038, -1.3584211084, 1.6496858188, 0.0000000000, 5.0000000000, 0.3391570220
          52, 0.0157581750, 0.0099060876, 0.0000000000, 0.0000000000, 0.0000000000, 0.0910940314, 0.0109811916, 0.0150287751, 0.0000000000, 1.5907566704, -3.8636028909, -1.3737900584, -1.3201675314, 1.5998111004, 0.0000000000, 5.0000000000, 0.3482674903
          53, -0.0059970134, 0.0197451696, 0.0000000000, 0.0000000000, 0.0000000000, 0.0894543253, 0.0192787408, -0.0073597584, 0.0000000000, -0.3037205335, -3.9094214405, -1.4052490054, -1.3546531266, 1.5536602661, 0.0000000000, 5.0000000000, 0.3563941219
          54, -0.0496940694, 0.0262018604, 0.0000000000, 0.0000000000, 0.0000000000, 0.0792411354, 0.0226715509, -0.0514007666, 0.0000000000, -1.8965855375, -3.9180694776, -1.4558708529, -1.4412069172, 1.5512200151, 0.0000000000, 5.0000000000, 0.3627056130
          55, -0.0945809106, 0.0273749258, 0.0000000000, 0.0000000000, 0.0000000000, 0.0666228548, 0.0207106111, -0.0962600945, 0.0000000000, -3.4550197960, -3.9206144935, -1.4560929769, -1.4900920359, 1.5496184699, 0.0000000000, 5.0000000000, 0.3688737796
          56, -0.1216399460, 0.0234465357, 0.0000000000, 0.0000000000, 0.0000000000, 0.0576208667, 0.0149042474, -0.1229791848, 0.0000000000, -5.1879709494, -3.9578953383, -1.4310221115, -1.4773741899, 1.5069759449, 0.0000000000, 5.0000000000, 0.3768222925
          57, -0.1215864543, 0.0163718130, 0.0000000000, 0.0000000000, 0.0000000000, 0.0554191488, 0.0078504897, -0.1224323157, 0.0000000000, -7.4265724027, -4.0164151839, -1.4484198292, -1.4925712021, 1.4446626614, 0.0000000000, 5.0000000000, 0.3829937802
          58, -0.0981397548, 0.0091750891, 0.0000000000, 0.0000000000, 0.0000000000, 0.0596262180, 0.0023068558, -0.0985407131, 0.0000000000, -10.6963271741, -4.0425855784, -1.5137034121, -1.5520372153, 1.4241589127, 0.0000000000, 5.0000000000, 0.3878059723
          59, -0.0651306451, 0.0048291227, 0.0000000000, 0.0000000000, 0.0000000000, 0.0672893471, 0.0002740751, -0.0653088527, 0.0000000000, -13.4870553431, -4.0385016008, -1.5625668714, -1.5727452299, 1.4328141217, 0.0000000000, 5.0000000000, 0.3928555657
          60, -0.0390681522, 0.0049989354, 0.0000000000, 0.0000000000, 0.0000000000, 0.0746948926, 0.0022615017, -0.0393216923, 0.0000000000, -7.8152945370, -4.0574451252, -1.5463701009, -1.5241602698, 1.4105762340, 0.0000000000, 5.0000000000, 0.3980815888
          61, -0.0311187219, 0.0092410756, 0.0000000000, 0.0000000000, 0.0000000000, 0.0789754070, 0.0070478325, -0.0316875431, 0.0000000000, -3.3674350418, -4.1120049268, -1.5293868929, -1.4977522196, 1.3497100724, 0.0000000000, 5.0000000000, 0.4033088520
          62, -0.0425461094, 0.0152086331, 0.0000000000, 0.0000000000, 0.0000000000, 0.0789892263, 0.0122037191, -0.0435033698, 0.0000000000, -2.7974972525, -4.1625937830, -1.5523161562, -1.5322468960, 1.2996015672, 0.0000000000, 5.0000000000, 0.4083785223
          63, -0.0655188893, 0.0198559594, 0.0000000000, 0.0000000000, 0.0000000000, 0.0754055750, 0.0152372246, -0.0667443703, 0.0000000000, -3.2997090645, -4.1744557599, -1.5895100151, -1.6043312952, 1.2946045092, 0.0000000000, 5.0000000000, 0.4132218309
          64, -0.0881722854, 0.0210073809, 0.0000000000, 0.0000000000, 0.0000000000, 0.0701765966, 0.0148056203, -0.0894229029, 0.0000000000, -4.1972050552, -4.1836685833, -1.5952126024, -1.6451074955, 1.2862843175, 0.0000000000, 5.0000000000, 0.4177999713
          65, -0.1007725679, 0.0183982786, 0.0000000000, 0.0000000000, 0.0000000000, 0.0656517306, 0.0113239224, -0.1018104900, 0.0000000000, -5.4772824040, -4.2261850349, -1.5831054701, -1.6370453787, 1.2380596302, 0.0000000000, 5.0000000000, 0.4223499814
          66, -0.0997985417, 0.0136264741, 0.0000000000, 0.0000000000, 0.0000000000, 0.0636294941, 0.0066316864, -0.1005059722, 0.0000000000, -7.3238712216, -4.2847911675, -1.5941132655, -1.6384329924, 1.1752007318, 0.0000000000, 5.0000000000, 0.4272954560
          67, -0.0883647829, 0.0091413779, 0.0000000000, 0.0000000000, 0.0000000000, 0.0646749010, 0.0029550943, -0.0887872010, 0.0000000000, -9.6664621133, -4.3089674732, -1.6296472482, -1.6621611274, 1.1566221153, 0.0000000000, 5.0000000000, 0.4325317135
          68, -0.0735546167, 0.0069110801, 0.0000000000, 0.0000000000, 0.0000000000, 0.0679842135, 0.0017633344, -0.0738575339, 0.0000000000, -10.6429987143, -4.3042678629, -1.6527533279, -1.6691145025, 1.1663740041, 0.0000000000, 5.0000000000, 0.4379217865
          69, -0.0625249723, 0.0075378782, 0.0000000000, 0.0000000000, 0.0000000000, 0.0718599496, 0.0031579947, -0.0628984804, 0.0000000000, -8.2947708827, -4.3200704669, -1.6426391368, -1.6456799396, 1.1477016514, 0.0000000000, 5.0000000000, 0.4433394768
          70, -0.0594103059, 0.0101977642, 0.0000000000, 0.0000000000, 0.0000000000, 0.0745679506, 0.0060286696, -0.0599769454, 0.0000000000, -5.8258167673, -4.3664606683, -1.6283733380, -1.6307119182, 1.0948744035, 0.0000000000, 5.0000000000, 0.4481670134
          71, -0.0641702424, 0.0132810591, 0.0000000000, 0.0000000000, 0.0000000000, 0.0751396639, 0.0087724173, -0.0649403668, 0.0000000000, -4.8317112141, -4.4080884730, -1.6318056106, -1.6472406609, 1.0525753796, 0.0000000000, 5.0000000000, 0.4530116335
          72, -0.0734242402, 0.0152738451, 0.0000000000, 0.0000000000, 0.0000000000, 0.0737207102, 0.0101148227, -0.0743108320, 0.0000000000, -4.8071876887, -4.4174077745, -1.6437364620, -1.6815692162, 1.0488862547, 0.0000000000, 5.0000000000, 0.4578261489
          73, -0.0824978244, 0.0154085697, 0.0000000000, 0.0000000000, 0.0000000000, 0.0713347431, 0.0096162779, -0.0833717113, 0.0000000000, -5.3540222071, -4.4245371147, -1.6474367947, -1.7019769062, 1.0428593036, 0.0000000000, 5.0000000000, 0.4639410766
          74, -0.0876135739, 0.0138470810, 0.0000000000, 0.0000000000, 0.0000000000, 0.0692557081, 0.0077017362, -0.0883660752, 0.0000000000, -6.3272233301, -4.4569291637, -1.6456460479, -1.7010974577, 1.0058517119, 0.0000000000, 5.0000000000, 0.4694037812
