"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 14.8962032395, 5.9866282047, 0.0000000000, 0.0000000000, 0.0000000000, 6.2744465723, 4.3967555959, 15.4403733260, 0.0000000000, 2.4882459258, -2.1087742127, -0.9350417660, -1.9134215494, 3.3530508626, 0.0000000000, 5.0000000000, 0.0039484673
           1, 1.0328952107, 0.1381251102, 0.0000000000, 0.0000000000, 0.0000000000, 0.5936838460, 0.0294014973, 1.0416749081, 0.0000000000, 7.4779684115, -1.9824668666, -0.0804481115, 0.1662518504, 3.4810182042, 0.0000000000, 5.0000000000, 0.0074974646
           2, 9.4969852418, 1.9516678184, 0.0000000000, 0.0000000000, 0.0000000000, 3.4495520871, 0.9482711049, 9.6489646008, 0.0000000000, 4.8660869191, -2.1640255498, 0.0397708391, 0.1836617875, 3.3009446813, 0.0000000000, 5.0000000000, 0.0108427856
           3, -0.1559165498, -0.6386923561, 0.0000000000, 0.0000000000, 0.0000000000, -0.7437559736, -0.6188958152, -0.2218239532, 0.0000000000, 0.2441183903, -2.3603181263, 0.0317206193, 0.0882031096, 3.1053350114, 0.0000000000, 5.0000000000, 0.0144125082
           4, 0.1581453617, -0.6077802402, 0.0000000000, 0.0000000000, 0.0000000000, -0.4501359992, -0.6209814481, 0.0937486903, 0.0000000000, -0.2602015518, -2.3979265893, 0.0140854735, 0.0169557810, 3.0702735050, 0.0000000000, 5.0000000000, 0.0177790820
           5, -3.2208281871, -0.7893435700, 0.0000000000, 0.0000000000, 0.0000000000, -1.5890152208, -0.4483512425, -3.2856930236, 0.0000000000, 4.0803881979, -2.4070923771, -0.0004352852, 0.0001213525, 3.0624992433, 0.0000000000, 5.0000000000, 0.0211074977
           6, -4.1437643796, -0.6121874422, 0.0000000000, 0.0000000000, 0.0000000000, -1.4076676755, -0.1756924926, -4.1850554173, 0.0000000000, 6.7687836987, -2.3741742561, 0.0296776674, 0.0326524464, 3.0953827583, 0.0000000000, 5.0000000000, 0.0244154232
           7, -3.1290895660, -0.2886072993, 0.0000000000, 0.0000000000, 0.0000000000, -0.8310688326, 0.0400526454, -3.1421157634, 0.0000000000, 10.8420319710, -2.3570145923, 0.0648225231, 0.0621533484, 3.1114729657, 0.0000000000, 5.0000000000, 0.0276798738
           8, -1.3816971431, -0.0597581589, 0.0000000000, 0.0000000000, 0.0000000000, -0.1887317312, 0.0849958816, -1.3803744901, 0.0000000000, 23.1214811244, -2.3461210006, 0.0875718317, 0.0890916693, 3.1210529291, 0.0000000000, 5.0000000000, 0.0309771800
           9, 1.0561810992, 0.1641879969, 0.0000000000, 0.0000000000, 0.0000000000, 0.4494750440, 0.0528875706, 1.0675575476, 0.0000000000, 6.4327546424, -2.3332227349, 0.0809017659, 0.0919930799, 3.1329728870, 0.0000000000, 5.0000000000, 0.0342200356
          10, 2.5463415325, 0.3265128490, 0.0000000000, 0.0000000000, 0.0000000000, 0.6712755672, 0.0585590101, 2.5665222935, 0.0000000000, 7.7985951867, -2.3457181462, 0.0501539045, 0.0633185825, 3.1216802879, 0.0000000000, 5.0000000000, 0.0378911047
          11, 2.8414917052, 0.4015161188, 0.0000000000, 0.0000000000, 0.0000000000, 0.6306391523, 0.1022998102, 2.8678955792, 0.0000000000, 7.0769056884, -2.3511698239, 0.0329258152, 0.0349318362, 3.1181985233, 0.0000000000, 5.0000000000, 0.0415260468
