"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 32.1390655505, 12.3204188024, 0.0000000000, 0.0000000000, 0.0000000000, 11.0026046410, 4.1793060491, 34.1649770214, 0.0000000000, 2.6086017096, -1.9190184138, -0.7559961976, -1.3592251394, 3.5428066615, 0.0000000000, 5.0000000000, 0.0053658340
           1, 2.7716491190, 0.8817469627, 0.0000000000, 0.0000000000, 0.0000000000, 1.0878159053, 0.1850327008, 2.9026331916, 0.0000000000, 3.1433611184, -1.7797060259, 0.0546019246, 0.3706648465, 3.6834013071, 0.0000000000, 5.0000000000, 0.0108696117
           2, 19.1941982945, 5.9254234016, 0.0000000000, 0.0000000000, 0.0000000000, 6.3108303452, 1.1059161670, 20.0575382360, 0.0000000000, 3.2392956577, -1.9471534425, 0.2242660020, 0.4175167750, 3.5179816623, 0.0000000000, 5.0000000000, 0.0159578550
           3, -0.8689656012, -0.8179483233, 0.0000000000, 0.0000000000, 0.0000000000, -1.0785072196, -0.5834299569, -1.0410332180, 0.0000000000, 1.0623722508, -2.1421385167, 0.2599319542, 0.3280681253, 3.3230286406, 0.0000000000, 5.0000000000, 0.0214245508
           4, -1.3885598879, -0.8940551018, 0.0000000000, 0.0000000000, 0.0000000000, -0.9173543506, -0.5315748041, -1.5636052299, 0.0000000000, 1.5531032541, -2.1873697864, 0.2474124046, 0.2515296758, 3.2803045105, 0.0000000000, 5.0000000000, 0.0277050251
           5, -6.9844214661, -2.3436427070, 0.0000000000, 0.0000000000, 0.0000000000, -2.9726440385, -0.5843420218, -7.3439327853, 0.0000000000, 2.9801562522, -2.1807691776, 0.2253049768, 0.2333108529, 3.2901587177, 0.0000000000, 5.0000000000, 0.0332663036
           6, -8.6173421248, -2.4980594336, 0.0000000000, 0.0000000000, 0.0000000000, -2.9361502446, -0.3391326505, -8.9657055090, 0.0000000000, 3.4496145324, -2.1403331347, 0.2507009071, 0.2605063225, 3.3298377953, 0.0000000000, 5.0000000000, 0.0386230721
           7, -5.7215666388, -1.6015177995, 0.0000000000, 0.0000000000, 0.0000000000, -1.7889112606, -0.1697736293, -5.9390538791, 0.0000000000, 3.5725901022, -2.1287489612, 0.2965355835, 0.2992116230, 3.3395456390, 0.0000000000, 5.0000000000, 0.0435665440
           8, -2.2459424749, -0.5973076229, 0.0000000000, 0.0000000000, 0.0000000000, -0.5111614914, -0.0362223728, -2.3237301773, 0.0000000000, 3.7601101827, -2.1175787287, 0.3231978198, 0.3303105609, 3.3497446959, 0.0000000000, 5.0000000000, 0.0490174676
           9, 2.3775964499, 0.6173180642, 0.0000000000, 0.0000000000, 0.0000000000, 0.8465964539, 0.0237884393, 2.4563144304, 0.0000000000, 3.8514933998, -2.1108851540, 0.3050659252, 0.3270614705, 3.3550527569, 0.0000000000, 5.0000000000, 0.0543501823
          10, 5.2180248106, 1.3856626784, 0.0000000000, 0.0000000000, 0.0000000000, 1.4318922049, 0.0821481214, 5.3982493152, 0.0000000000, 3.7657251595, -2.1251898453, 0.2635377435, 0.2907887437, 3.3421886903, 0.0000000000, 5.0000000000, 0.0594622157
          11, 5.7491130483, 1.5658391955, 0.0000000000, 0.0000000000, 0.0000000000, 1.3692607068, 0.1284907527, 5.9571506070, 0.0000000000, 3.6715858595, -2.1272633178, 0.2389869093, 0.2624700450, 3.3429460358, 0.0000000000, 5.0000000000, 0.0652745225
          12, 4.2078653951, 1.1585479672, 0.0000000000, 0.0000000000, 0.0000000000, 0.8356879919, 0.1061593685, 4.3631519300, 0.0000000000, 3.6320165536, -2.1461530613, 0.2518305793, 0.2775260017, 3.3212023267, 0.0000000000, 5.0000000000, 0.0706822421
          13, 1.5351154387, 0.4176102080, 0.0000000000, 0.0000000000, 0.0000000000, 0.1594271991, 0.0338273631, 1.5905450027, 0.0000000000, 3.6759528610, -2.2160374152, 0.2495317196, 0.2706331760, 3.2451051470, 0.0000000000, 5.0000000000, 0.0758270028
          14, -0.9265033314, -0.3118073538, 0.0000000000, 0.0000000000, 0.0000000000, -0.4135867662, -0.0784039006, -0.9744152490, 0.0000000000, 2.9713966654, -2.2809699727, 0.1645049727, 0.1791517922, 3.1829338478, 0.0000000000, 5.0000000000, 0.0812159711
