"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 21.5630331422, 7.7944945634, 0.0000000000, 0.0000000000, 0.0000000000, 8.0666855967, 4.3253298468, 22.5168840097, 0.0000000000, 2.7664440544, -2.0356612884, -0.8649232637, -1.6652107494, 3.4261637869, 0.0000000000, 5.0000000000, 0.0036443355
           1, 1.7089243046, 0.3605992110, 0.0000000000, 0.0000000000, 0.0000000000, 0.7802955308, 0.0888249769, 1.7442947553, 0.0000000000, 4.7391238041, -1.9020667536, -0.0357723795, 0.2460559443, 3.5611278466, 0.0000000000, 5.0000000000, 0.0074281613
           2, 13.2630340815, 3.1247143341, 0.0000000000, 0.0000000000, 0.0000000000, 4.5335713082, 1.0114482741, 13.5885571385, 0.0000000000, 4.2445589143, -2.0759167354, 0.1077299231, 0.2789984071, 3.3890978892, 0.0000000000, 5.0000000000, 0.0109528126
           3, -0.4242623457, -0.6780336866, 0.0000000000, 0.0000000000, 0.0000000000, -0.8726418724, -0.6033167137, -0.5251068093, 0.0000000000, 0.6257245829, -2.2721178143, 0.1228398466, 0.1864176833, 3.1932866942, 0.0000000000, 5.0000000000, 0.0143372254
           4, -0.4283153872, -0.6607158988, 0.0000000000, 0.0000000000, 0.0000000000, -0.6280038025, -0.5855781013, -0.5264008522, 0.0000000000, 0.6482595439, -2.3142340242, 0.1092672648, 0.1120352959, 3.1535797934, 0.0000000000, 5.0000000000, 0.0178129568
           5, -4.6785176224, -1.2441184689, 0.0000000000, 0.0000000000, 0.0000000000, -2.1130390415, -0.4969199046, -4.8155403140, 0.0000000000, 3.7605081345, -2.3161515773, 0.0911294646, 0.0957938134, 3.1541595062, 0.0000000000, 5.0000000000, 0.0216557659
           6, -5.8845938595, -1.1713101668, 0.0000000000, 0.0000000000, 0.0000000000, -1.9871759202, -0.2363361026, -5.9953780235, 0.0000000000, 5.0239415881, -2.2781553468, 0.1193141182, 0.1259101051, 3.1918027933, 0.0000000000, 5.0000000000, 0.0250170087
           7, -4.1471408487, -0.6961781127, 0.0000000000, 0.0000000000, 0.0000000000, -1.1942174865, -0.0388512447, -4.2049889137, 0.0000000000, 5.9570112493, -2.2627029261, 0.1607421080, 0.1606750477, 3.2056962978, 0.0000000000, 5.0000000000, 0.0285699899
           8, -1.7288405275, -0.2346609733, 0.0000000000, 0.0000000000, 0.0000000000, -0.3134314552, 0.0386783357, -1.7442646955, 0.0000000000, 7.3673969014, -2.2510270025, 0.1859404977, 0.1908337456, 3.2162634663, 0.0000000000, 5.0000000000, 0.0320827035
           9, 1.5620120305, 0.2902521274, 0.0000000000, 0.0000000000, 0.0000000000, 0.5975129937, 0.0423261256, 1.5881865067, 0.0000000000, 5.3815696193, -2.2413213843, 0.1736482847, 0.1912501391, 3.2247053303, 0.0000000000, 5.0000000000, 0.0357315148
          10, 3.5802626410, 0.6376501393, 0.0000000000, 0.0000000000, 0.0000000000, 0.9574725298, 0.0697231371, 3.6359341252, 0.0000000000, 5.6147759094, -2.2547962106, 0.1378148003, 0.1586734609, 3.2125169503, 0.0000000000, 5.0000000000, 0.0392632646
          11, 3.9712096544, 0.7464085555, 0.0000000000, 0.0000000000, 0.0000000000, 0.9102792536, 0.1159849697, 4.0390814968, 0.0000000000, 5.3204235472, -2.2581863357, 0.1162227485, 0.1297389319, 3.2116478971, 0.0000000000, 5.0000000000, 0.0428067884
          12, 2.9135643487, 0.5747402395, 0.0000000000, 0.0000000000, 0.0000000000, 0.5649955720, 0.1118823531, 2.9676027187, 0.0000000000, 5.0693585532, -2.2737604711, 0.1291501713, 0.1402711284, 3.1934839923, 0.0000000000, 5.0000000000, 0.0462471911
          13, 1.1481280467, 0.2303459826, 0.0000000000, 0.0000000000, 0.0000000000, 0.1489076134, 0.0479032445, 1.1700267358, 0.0000000000, 4.9843632335, -2.3409656456, 0.1253422742, 0.1338221780, 3.1207109028, 0.0000000000, 5.0000000000, 0.0497318099
          14, -0.4438022972, -0.1360276938, 0.0000000000, 0.0000000000, 0.0000000000, -0.2103687880, -0.0649269922, -0.4596177740, 0.0000000000, 3.2625878227, -2.4066677960, 0.0422227593, 0.0447302641, 3.0575917293, 0.0000000000, 5.0000000000, 0.0532309607
          15, -1.3796636987, -0.3730457516, 0.0000000000, 0.0000000000, 0.0000000000, -0.4640412122, -0.1526259867, -1.4210349617, 0.0000000000, 3.6983766546, -2.4177985504, -0.0938779886, -0.0991142503, 3.0541645560, 0.0000000000, 5.0000000000, 0.0574300642
          16, -1.5671149764, -0.4120891235, 0.0000000000, 0.0000000000, 0.0000000000, -0.5720773434, -0.1618648296, -1.6122861322, 0.0000000000, 3.8028544968, -2.4438988519, -0.0945850605, -0.0942752838, 3.0270274183, 0.0000000000, 5.0000000000, 0.0614753309
          17, -1.1068193959, -0.2685263687, 0.0000000000, 0.0000000000, 0.0000000000, -0.4890469883, -0.0920756634, -1.1351993913, 0.0000000000, 4.1218275926, -2.5201085257, -0.0368180778, -0.0308296630, 2.9435768612, 0.0000000000, 5.0000000000, 0.0649428091
          18, -0.2186432228, -0.0301064582, 0.0000000000, 0.0000000000, 0.0000000000, -0.2238582891, 0.0044675378, -0.2206610496, 0.0000000000, 7.2623362395, -2.6001106177, -0.0672371999, -0.0602031961, 2.8604787090, 0.0000000000, 5.0000000000, 0.0685883919
          19, 0.8229288705, 0.1954757222, 0.0000000000, 0.0000000000, 0.0000000000, 0.1290158029, 0.0643346540, 0.8433763906, 0.0000000000, 4.2098776331, -2.6248473692, -0.1973476375, -0.1859336732, 2.8439492904, 0.0000000000, 5.0000000000, 0.0722169696
          20, 1.6742067555, 0.3263953016, 0.0000000000, 0.0000000000, 0.0000000000, 0.4140481087, 0.0604731957, 1.7046539665, 0.0000000000, 5.1293837475, -2.6330758116, -0.3500302187, -0.3201944577, 2.8412232072, 0.0000000000, 5.0000000000, 0.0756892515
          21, 2.0126969582, 0.3301746187, 0.0000000000, 0.0000000000, 0.0000000000, 0.5010275912, 0.0112544493, 2.0395680086, 0.0000000000, 6.0958560842, -2.6695836153, -0.3217979145, -0.2955952604, 2.8027470875, 0.0000000000, 5.0000000000, 0.0795327234
          22, 1.6951825892, 0.2258486015, 0.0000000000, 0.0000000000, 0.0000000000, 0.3601525286, -0.0421169511, 1.7096425836, 0.0000000000, 7.5058361133, -2.7312432349, -0.2498125942, -0.2398275133, 2.7347553915, 0.0000000000, 5.0000000000, 0.0830554789
          23, 0.8554515465, 0.0657353019, 0.0000000000, 0.0000000000, 0.0000000000, 0.0731254803, -0.0688961138, 0.8552027852, 0.0000000000, 13.0135790420, -2.7949522443, -0.2637395462, -0.2609709753, 2.6674988429, 0.0000000000, 5.0000000000, 0.0866570594
          24, -0.1267699185, -0.0862283883, 0.0000000000, 0.0000000000, 0.0000000000, -0.2165976254, -0.0653355894, -0.1386982622, 0.0000000000, 1.4701645353, -2.8403332903, -0.3771152898, -0.3703085644, 2.6270759839, 0.0000000000, 5.0000000000, 0.0903168321
          25, -0.8072088976, -0.1761301721, 0.0000000000, 0.0000000000, 0.0000000000, -0.3821992400, -0.0476864254, -0.8248236459, 0.0000000000, 4.5830245202, -2.8717233534, -0.5596576864, -0.5302894267, 2.6022213575, 0.0000000000, 5.0000000000, 0.0937626656
          26, -0.8956798363, -0.1756903475, 0.0000000000, 0.0000000000, 0.0000000000, -0.3686134000, -0.0334121118, -0.9121365567, 0.0000000000, 5.0980594491, -2.9183678474, -0.6028806750, -0.5694156327, 2.5553612265, 0.0000000000, 5.0000000000, 0.0973166803
          27, -0.3892234082, -0.0897844861, 0.0000000000, 0.0000000000, 0.0000000000, -0.2034656995, -0.0277911344, -0.3984768102, 0.0000000000, 4.3350853280, -2.9996831182, -0.5317596966, -0.5186715971, 2.4669725959, 0.0000000000, 5.0000000000, 0.1007446749
          28, 0.4482271825, 0.0459986437, 0.0000000000, 0.0000000000, 0.0000000000, 0.0302107361, -0.0246858555, 0.4499045353, 0.0000000000, 9.7443565023, -3.0910690360, -0.5479493905, -0.5431250108, 2.3693877235, 0.0000000000, 5.0000000000, 0.1044335187
          29, 1.2353582833, 0.1785202915, 0.0000000000, 0.0000000000, 0.0000000000, 0.2368284530, -0.0169302017, 1.2480756992, 0.0000000000, 6.9199880472, -3.1367344989, -0.6758004408, -0.6719281850, 2.3300687468, 0.0000000000, 5.0000000000, 0.1083344202
          30, 1.6580710469, 0.2573088786, 0.0000000000, 0.0000000000, 0.0000000000, 0.3446709619, -0.0052384779, 1.6779094177, 0.0000000000, 6.4438936416, -3.1578167800, -0.8348289117, -0.8415311838, 2.3162396243, 0.0000000000, 5.0000000000, 0.1119785847
          31, 1.5953324566, 0.2547004763, 0.0000000000, 0.0000000000, 0.0000000000, 0.3261807380, 0.0019997113, 1.6155351995, 0.0000000000, 6.2635629114, -3.2173500854, -0.8029999325, -0.8388346329, 2.2544592152, 0.0000000000, 5.0000000000, 0.1153187315
          32, 1.1390304417, 0.1769904836, 0.0000000000, 0.0000000000, 0.0000000000, 0.2011373718, -0.0033721808, 1.1526944984, 0.0000000000, 6.4355462422, -3.3202565492, -0.7460423125, -0.7909058342, 2.1407077868, 0.0000000000, 5.0000000000, 0.1188205906
          33, 0.5209884075, 0.0607386560, 0.0000000000, 0.0000000000, 0.0000000000, 0.0255030482, -0.0215096804, 0.5240757948, 0.0000000000, 8.5775425672, -3.3819523233, -0.7936334184, -0.8394614622, 2.0770121182, 0.0000000000, 5.0000000000, 0.1222516141
          34, -0.0017357923, -0.0445286370, 0.0000000000, 0.0000000000, 0.0000000000, -0.1306129234, -0.0437088779, -0.0086802353, 0.0000000000, 0.0389814830, -3.3566487624, -0.9386545924, -0.9599142903, 2.1150398748, 0.0000000000, 5.0000000000, 0.1258414492
