"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 8.0771986294, 4.8851860927, 0.0000000000, 0.0000000000, 0.0000000000, 4.4651570145, 4.4557632009, 8.3217999950, 0.0000000000, 1.6534065389, -2.1703011334, -0.9947786295, -2.2753828721, 3.2915239419, 0.0000000000, 5.0000000000, 0.0034519342
           1, 0.3377527688, -0.0135412724, 0.0000000000, 0.0000000000, 0.0000000000, 0.4060933377, -0.0311993287, 0.3365811950, 0.0000000000, -24.9424690995, -2.0552087368, -0.1059150410, 0.0988026338, 3.4089351527, 0.0000000000, 5.0000000000, 0.0079566662
           2, 5.6237855818, 1.1763287676, 0.0000000000, 0.0000000000, 0.0000000000, 2.3553235685, 0.8803904538, 5.6776426700, 0.0000000000, 4.7807940575, -2.2485819263, -0.0089234369, 0.0954969801, 3.2164716847, 0.0000000000, 5.0000000000, 0.0113115802
           3, 0.1115577342, -0.6324863556, 0.0000000000, 0.0000000000, 0.0000000000, -0.6113761351, -0.6374580357, 0.0783030700, 0.0000000000, -0.1763796692, -2.4431281431, -0.0467702387, -0.0027950058, 3.0228943171, 0.0000000000, 5.0000000000, 0.0147757373
           4, 0.7423684421, -0.6206334089, 0.0000000000, 0.0000000000, 0.0000000000, -0.2710494144, -0.6586354147, 0.7088696090, 0.0000000000, -1.1961464392, -2.4729554509, -0.0747130720, -0.0686972745, 2.9961489171, 0.0000000000, 5.0000000000, 0.0186322588
           5, -1.7264497215, -0.4942476666, 0.0000000000, 0.0000000000, 0.0000000000, -1.0610231222, -0.4032149203, -1.7499506065, 0.0000000000, 3.4930862362, -2.4882649912, -0.0855804649, -0.0912952051, 2.9804165349, 0.0000000000, 5.0000000000, 0.0229433137
           6, -2.3512502318, -0.2397440046, 0.0000000000, 0.0000000000, 0.0000000000, -0.8233709762, -0.1163605145, -2.3605751568, 0.0000000000, 9.8073369374, -2.4663585031, -0.0547284838, -0.0568759656, 3.0024494061, 0.0000000000, 5.0000000000, 0.0266267125
           7, -2.0695992705, 0.0105266834, 0.0000000000, 0.0000000000, 0.0000000000, -0.4645813981, 0.1188267138, -2.0662120326, 0.0000000000, -196.6050653660, -2.4513674792, -0.0307857057, -0.0362436755, 3.0173392639, 0.0000000000, 5.0000000000, 0.0308370554
           8, -1.0109015404, 0.0792569792, 0.0000000000, 0.0000000000, 0.0000000000, -0.0598485967, 0.1320548591, -1.0053681452, 0.0000000000, -12.7547321427, -2.4439158972, -0.0131026162, -0.0178573475, 3.0231114826, 0.0000000000, 5.0000000000, 0.0345037983
           9, 0.5451992494, 0.0916649608, 0.0000000000, 0.0000000000, 0.0000000000, 0.3030205431, 0.0630058131, 0.5492494462, 0.0000000000, 5.9477388575, -2.4269789133, -0.0132770155, -0.0145606986, 3.0397058523, 0.0000000000, 5.0000000000, 0.0383742175
          10, 1.4881481838, 0.1226756481, 0.0000000000, 0.0000000000, 0.0000000000, 0.3847954181, 0.0446238671, 1.4925290758, 0.0000000000, 12.1307546121, -2.4377488636, -0.0383143713, -0.0381461929, 3.0301947475, 0.0000000000, 5.0000000000, 0.0417147420
          11, 1.6794165065, 0.1720227506, 0.0000000000, 0.0000000000, 0.0000000000, 0.3484424155, 0.0838931306, 1.6861178997, 0.0000000000, 9.7627581270, -2.4472920554, -0.0472102519, -0.0627758045, 3.0214513142, 0.0000000000, 5.0000000000, 0.0450138086
