"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 36.1221013330, 14.6352906846, 0.0000000000, 0.0000000000, 0.0000000000, 12.1550658734, 4.1117438460, 38.7568252142, 0.0000000000, 2.4681505897, -1.8772803405, -0.7183206059, -1.2608241678, 3.5845447348, 0.0000000000, 5.0000000000, 0.0050048713
           1, 3.1677977492, 1.1398501318, 0.0000000000, 0.0000000000, 0.0000000000, 1.2091471722, 0.2225308754, 3.3592679131, 0.0000000000, 2.7791353099, -1.7368818879, 0.0908569193, 0.4145531333, 3.7262467940, 0.0000000000, 5.0000000000, 0.0101927291
           2, 21.4126234462, 7.3256483769, 0.0000000000, 0.0000000000, 0.0000000000, 7.0091533578, 1.1397462748, 22.6023570766, 0.0000000000, 2.9229663157, -1.9029857007, 0.2669937078, 0.4644995787, 3.5621925094, 0.0000000000, 5.0000000000, 0.0155755112
           3, -1.0439557451, -0.8999049400, 0.0000000000, 0.0000000000, 0.0000000000, -1.1571230415, -0.5772909476, -1.2515620882, 0.0000000000, 1.1600733574, -2.0974574188, 0.3070511450, 0.3758740650, 3.3676468887, 0.0000000000, 5.0000000000, 0.0207084410
           4, -1.7600690780, -1.0369840688, 0.0000000000, 0.0000000000, 0.0000000000, -1.0294769200, -0.5116722779, -1.9777185336, 0.0000000000, 1.6972961601, -2.1431960736, 0.2943038850, 0.2989668356, 3.3244837859, 0.0000000000, 5.0000000000, 0.0259804477
           5, -7.8503267071, -2.8971954063, 0.0000000000, 0.0000000000, 0.0000000000, -3.3099704332, -0.6211196739, -8.3447936452, 0.0000000000, 2.7096296957, -2.1343111282, 0.2711478165, 0.2798594251, 3.3367377026, 0.0000000000, 5.0000000000, 0.0311367257
           6, -9.6351039721, -3.1586691809, 0.0000000000, 0.0000000000, 0.0000000000, -3.3079381074, -0.3805131119, -10.1325036057, 0.0000000000, 3.0503681836, -2.0937001056, 0.2956942050, 0.3062423030, 3.3764810034, 0.0000000000, 5.0000000000, 0.0374649368
           7, -6.2993698319, -2.0368923177, 0.0000000000, 0.0000000000, 0.0000000000, -2.0220566668, -0.2216449200, -6.6167865405, 0.0000000000, 3.0926376309, -2.0834278095, 0.3423106189, 0.3456948470, 3.3848202803, 0.0000000000, 5.0000000000, 0.0429550733
           8, -2.4288671233, -0.7643082865, 0.0000000000, 0.0000000000, 0.0000000000, -0.5865381051, -0.0652137682, -2.5454488453, 0.0000000000, 3.1778631297, -2.0726135928, 0.3691872411, 0.3766883538, 3.3946862952, 0.0000000000, 5.0000000000, 0.0484637829
           9, 2.6889844851, 0.7877882113, 0.0000000000, 0.0000000000, 0.0000000000, 0.9465778249, 0.0160860587, 2.8019616460, 0.0000000000, 3.4133342521, -2.0666372258, 0.3495373856, 0.3723921664, 3.3992775480, 0.0000000000, 5.0000000000, 0.0537166963
          10, 5.8331619377, 1.7610677879, 0.0000000000, 0.0000000000, 0.0000000000, 1.6200375781, 0.0850096759, 6.0926112054, 0.0000000000, 3.3122869986, -2.0811097842, 0.3064495644, 0.3353175515, 3.3862884208, 0.0000000000, 5.0000000000, 0.0585942931
          11, 6.4132351947, 1.9741815140, 0.0000000000, 0.0000000000, 0.0000000000, 1.5498724658, 0.1299778790, 6.7089555122, 0.0000000000, 3.2485539699, -2.0828482240, 0.2814067748, 0.3072546636, 3.3874232945, 0.0000000000, 5.0000000000, 0.0638852862
          12, 4.6883438479, 1.4486337855, 0.0000000000, 0.0000000000, 0.0000000000, 0.9413005769, 0.1002334680, 4.9060229446, 0.0000000000, 3.2363899661, -2.1026381834, 0.2941569738, 0.3233398401, 3.3647239551, 0.0000000000, 5.0000000000, 0.0696816997
          13, 1.6726589468, 0.5060095731, 0.0000000000, 0.0000000000, 0.0000000000, 0.1625448638, 0.0253603311, 1.7473381166, 0.0000000000, 3.3055875535, -2.1732025325, 0.2919023473, 0.3164851471, 3.2878215488, 0.0000000000, 5.0000000000, 0.0747873758
          14, -1.1158534590, -0.4090202877, 0.0000000000, 0.0000000000, 0.0000000000, -0.4940084255, -0.0856046385, -1.1853684589, 0.0000000000, 2.7281127429, -2.2373916475, 0.2065911975, 0.2247601170, 3.2264613895, 0.0000000000, 5.0000000000, 0.0806671470
          15, -2.7353640267, -0.9640501812, 0.0000000000, 0.0000000000, 0.0000000000, -0.9027977011, -0.1727360046, -2.8951289062, 0.0000000000, 2.8373668508, -2.2430353366, 0.0594359309, 0.0881808572, 3.2294418783, 0.0000000000, 5.0000000000, 0.0857775127
          16, -2.9011202836, -1.0411323864, 0.0000000000, 0.0000000000, 0.0000000000, -1.0101589558, -0.2011435595, -3.0757107820, 0.0000000000, 2.7865046959, -2.2646904640, 0.0644215957, 0.0988417178, 3.2065866541, 0.0000000000, 5.0000000000, 0.0911480220
          17, -1.8228709202, -0.6949115771, 0.0000000000, 0.0000000000, 0.0000000000, -0.7929084787, -0.1655405607, -1.9437995819, 0.0000000000, 2.6231695950, -2.3395408671, 0.1386696600, 0.1570904641, 3.1235820564, 0.0000000000, 5.0000000000, 0.0964034797
          18, -0.0558686184, -0.1152141471, 0.0000000000, 0.0000000000, 0.0000000000, -0.3162659794, -0.0953514682, -0.0854616857, 0.0000000000, 0.4849110966, -2.4183721397, 0.1156684207, 0.1260401726, 3.0412163488, 0.0000000000, 5.0000000000, 0.1017593430
          19, 1.7584842851, 0.4699861011, 0.0000000000, 0.0000000000, 0.0000000000, 0.2547111355, -0.0329243220, 1.8199093123, 0.0000000000, 3.7415665720, -2.4378877783, -0.0142433839, 0.0044779850, 3.0308184657, 0.0000000000, 5.0000000000, 0.1069205671
          20, 2.9962353989, 0.8556371029, 0.0000000000, 0.0000000000, 0.0000000000, 0.6851737832, -0.0033832301, 3.1160118696, 0.0000000000, 3.5017595529, -2.4418436771, -0.1663349490, -0.1199681764, 3.0324949661, 0.0000000000, 5.0000000000, 0.1122480791
          21, 3.2358159357, 0.9186210613, 0.0000000000, 0.0000000000, 0.0000000000, 0.7882101073, -0.0088765092, 3.3636721945, 0.0000000000, 3.5224708775, -2.4796905231, -0.1291320123, -0.0988770832, 2.9920172040, 0.0000000000, 5.0000000000, 0.1174142779
          22, 2.4304734948, 0.6596903703, 0.0000000000, 0.0000000000, 0.0000000000, 0.5295037197, -0.0357942033, 2.5181563829, 0.0000000000, 3.6842640187, -2.5459138659, -0.0585551118, -0.0505026924, 2.9187668546, 0.0000000000, 5.0000000000, 0.1229740740
          23, 0.9462698122, 0.1996638898, 0.0000000000, 0.0000000000, 0.0000000000, 0.0446127528, -0.0688980596, 0.9646477511, 0.0000000000, 4.7393137205, -2.6062313599, -0.0782153737, -0.0741605043, 2.8558855512, 0.0000000000, 5.0000000000, 0.1292620459
          24, -0.5670372747, -0.2650980863, 0.0000000000, 0.0000000000, 0.0000000000, -0.4328392539, -0.0985319809, -0.6181421479, 0.0000000000, 2.1389715888, -2.6401861116, -0.1935121067, -0.1757576561, 2.8279709193, 0.0000000000, 5.0000000000, 0.1348215641
          25, -1.4649746846, -0.5448029654, 0.0000000000, 0.0000000000, 0.0000000000, -0.6936241639, -0.1198964741, -1.5583920986, 0.0000000000, 2.6889991017, -2.6695065106, -0.3563213478, -0.3065612739, 2.8038275870, 0.0000000000, 5.0000000000, 0.1409844210
          26, -1.3970719705, -0.5352300454, 0.0000000000, 0.0000000000, 0.0000000000, -0.6467584242, -0.1294109174, -1.4904811662, 0.0000000000, 2.6102271022, -2.7225823877, -0.3844018148, -0.3389394335, 2.7492901184, 0.0000000000, 5.0000000000, 0.1462155399
          27, -0.4524758863, -0.2580652995, 0.0000000000, 0.0000000000, 0.0000000000, -0.3444955173, -0.1233490306, -0.5060801746, 0.0000000000, 1.7533387373, -2.8010385495, -0.3330209738, -0.3120191653, 2.6643933745, 0.0000000000, 5.0000000000, 0.1511998783
          28, 0.9077757252, 0.1555768945, 0.0000000000, 0.0000000000, 0.0000000000, 0.0617325093, -0.1006667911, 0.9154928370, 0.0000000000, 5.8349006651, -2.8702448129, -0.3569365579, -0.3429991185, 2.5922014556, 0.0000000000, 5.0000000000, 0.1565878417
          29, 2.0876667390, 0.5288813441, 0.0000000000, 0.0000000000, 0.0000000000, 0.4004901672, -0.0670455620, 2.1525735254, 0.0000000000, 3.9473253543, -2.9023305473, -0.4659805194, -0.4503367442, 2.5656985869, 0.0000000000, 5.0000000000, 0.1617833326
          30, 2.6301133960, 0.7172362478, 0.0000000000, 0.0000000000, 0.0000000000, 0.5514688148, -0.0355057700, 2.7259243664, 0.0000000000, 3.6670112587, -2.9332313090, -0.5709159709, -0.5689056767, 2.5388175746, 0.0000000000, 5.0000000000, 0.1679473868
          31, 2.3962486248, 0.6650353343, 0.0000000000, 0.0000000000, 0.0000000000, 0.4824034301, -0.0212226415, 2.4867305981, 0.0000000000, 3.6031899376, -3.0019936247, -0.5547330546, -0.5843540148, 2.4669144874, 0.0000000000, 5.0000000000, 0.1729851565
          32, 1.5812603910, 0.4190554852, 0.0000000000, 0.0000000000, 0.0000000000, 0.2467113380, -0.0330324466, 1.6355123911, 0.0000000000, 3.7733914642, -3.0936112671, -0.5360503197, -0.5754536241, 2.3676528724, 0.0000000000, 5.0000000000, 0.1781451192
          33, 0.5856929838, 0.0977596335, 0.0000000000, 0.0000000000, 0.0000000000, -0.0478953433, -0.0674662743, 0.5899504378, 0.0000000000, 5.9911536404, -3.1325613470, -0.6007859065, -0.6299125324, 2.3307578758, 0.0000000000, 5.0000000000, 0.1834129708
          34, -0.1775910740, -0.1652550154, 0.0000000000, 0.0000000000, 0.0000000000, -0.2846237868, -0.1099025823, -0.2162619524, 0.0000000000, 1.0746486182, -3.1155154540, -0.7346514098, -0.7153276729, 2.3562312834, 0.0000000000, 5.0000000000, 0.1885610811
          35, -0.4486343702, -0.2767872067, 0.0000000000, 0.0000000000, 0.0000000000, -0.3811774975, -0.1424045482, -0.5075479293, 0.0000000000, 1.6208638238, -3.1213428109, -0.7891197630, -0.7126022241, 2.3514147696, 0.0000000000, 5.0000000000, 0.1936185001
          36, -0.1956308730, -0.2151918568, 0.0000000000, 0.0000000000, 0.0000000000, -0.3170591275, -0.1529325127, -0.2473673792, 0.0000000000, 0.9090997953, -3.1725536779, -0.7242913390, -0.6572621433, 2.2936357911, 0.0000000000, 5.0000000000, 0.1986680650
          37, 0.4115938680, -0.0279659424, 0.0000000000, 0.0000000000, 0.0000000000, -0.1353270689, -0.1403332346, 0.3879409612, 0.0000000000, -14.7176827737, -3.2271664062, -0.7036714740, -0.6544626187, 2.2321078487, 0.0000000000, 5.0000000000, 0.2037618674
          38, 1.0994607109, 0.1976779803, 0.0000000000, 0.0000000000, 0.0000000000, 0.0810142591, -0.1130321726, 1.1113569034, 0.0000000000, 5.5618775004, -3.2233693475, -0.7516829218, -0.7194237381, 2.2410467432, 0.0000000000, 5.0000000000, 0.2092938467
