"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 5.7832153658, 4.6773294865, 0.0000000000, 0.0000000000, 0.0000000000, 3.8591179787, 4.4726488781, 5.9429288323, 0.0000000000, 1.2364353169, -2.1844761714, -1.0086227148, -2.4655389099, 3.2773489039, 0.0000000000, 5.0000000000, 0.0034766365
           1, 0.1032176192, -0.0480650712, 0.0000000000, 0.0000000000, 0.0000000000, 0.3434512365, -0.0516380342, 0.1014772951, 0.0000000000, -2.1474558684, -2.0735574994, -0.1084845114, 0.0837651242, 3.3908963476, 0.0000000000, 5.0000000000, 0.0070497873
           2, 4.3160849785, 1.0079985813, 0.0000000000, 0.0000000000, 0.0000000000, 1.9887604381, 0.8567553424, 4.3486343793, 0.0000000000, 4.2818363621, -2.2713044029, -0.0171026181, 0.0742285519, 3.1938343082, 0.0000000000, 5.0000000000, 0.0104199389
           3, 0.2002401229, -0.6377272113, 0.0000000000, 0.0000000000, 0.0000000000, -0.5665366030, -0.6443270046, 0.1778617833, 0.0000000000, -0.3139902444, -2.4645617745, -0.0636644693, -0.0244408518, 3.0015984670, 0.0000000000, 5.0000000000, 0.0138078011
           4, 0.9353483063, -0.6394664087, 0.0000000000, 0.0000000000, 0.0000000000, -0.2113463000, -0.6717200482, 0.9124614616, 0.0000000000, -1.4627012360, -2.4912853770, -0.0965871595, -0.0883658751, 2.9782531443, 0.0000000000, 5.0000000000, 0.0179487125
           5, -1.2229419134, -0.4319201239, 0.0000000000, 0.0000000000, 0.0000000000, -0.8844564560, -0.3889769526, -1.2372707251, 0.0000000000, 2.8314075812, -2.5071008543, -0.1068426055, -0.1147460884, 2.9613480948, 0.0000000000, 5.0000000000, 0.0215000688
           6, -1.7458176188, -0.1579663265, 0.0000000000, 0.0000000000, 0.0000000000, -0.6279449318, -0.0969419415, -1.7502670592, 0.0000000000, 11.0518340036, -2.4902210391, -0.0765148716, -0.0803445458, 2.9782894021, 0.0000000000, 5.0000000000, 0.0248345139
           7, -1.7093243538, 0.0854043706, 0.0000000000, 0.0000000000, 0.0000000000, -0.3418967501, 0.1450069042, -1.7053025101, 0.0000000000, -20.0144833643, -2.4778329346, -0.0571984234, -0.0631571653, 2.9910094419, 0.0000000000, 5.0000000000, 0.0282206586
           8, -0.8827444059, 0.1171289870, 0.0000000000, 0.0000000000, 0.0000000000, -0.0160344835, 0.1478649706, -0.8781189192, 0.0000000000, -7.5365153306, -2.4725114027, -0.0418709231, -0.0493220074, 2.9945029869, 0.0000000000, 5.0000000000, 0.0316128825
           9, 0.3747126386, 0.0793825921, 0.0000000000, 0.0000000000, 0.0000000000, 0.2546012770, 0.0662569519, 0.3772547863, 0.0000000000, 4.7203376526, -2.4545240692, -0.0405403095, -0.0473540455, 3.0124534755, 0.0000000000, 5.0000000000, 0.0348772832
          10, 1.1321019003, 0.0789150056, 0.0000000000, 0.0000000000, 0.0000000000, 0.2893606765, 0.0393571462, 1.1341663484, 0.0000000000, 14.3458381753, -2.4645036042, -0.0642000800, -0.0694317759, 3.0038285587, 0.0000000000, 5.0000000000, 0.0383019281
          11, 1.2871303831, 0.1217080171, 0.0000000000, 0.0000000000, 0.0000000000, 0.2539244573, 0.0767136733, 1.2905938466, 0.0000000000, 10.5755595530, -2.4758812987, -0.0692915893, -0.0915564529, 2.9926930695, 0.0000000000, 5.0000000000, 0.0417061469
