"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 28.0046873554, 10.2890386307, 0.0000000000, 0.0000000000, 0.0000000000, 9.8369635438, 4.2416965516, 29.5319291645, 0.0000000000, 2.7217982516, -1.9637766990, -0.7972542074, -1.4697796911, 3.4980483763, 0.0000000000, 5.0000000000, 0.0036469084
           1, 2.3578722397, 0.6514368023, 0.0000000000, 0.0000000000, 0.0000000000, 0.9654557270, 0.1469721411, 2.4417884012, 0.0000000000, 3.6194949862, -1.8260904431, 0.0177445512, 0.3232219710, 3.6370183172, 0.0000000000, 5.0000000000, 0.0072785079
           2, 16.8822573139, 4.6821331731, 0.0000000000, 0.0000000000, 0.0000000000, 5.6049301458, 1.0697986666, 17.4868097112, 0.0000000000, 3.6056764491, -1.9954358425, 0.1788842036, 0.3658296321, 3.4696518293, 0.0000000000, 5.0000000000, 0.0106976151
           3, -0.6918875705, -0.7508082240, 0.0000000000, 0.0000000000, 0.0000000000, -0.9976317694, -0.5905497483, -0.8328699744, 0.0000000000, 0.9215236971, -2.1909501785, 0.2083780259, 0.2753479242, 3.2742943943, 0.0000000000, 5.0000000000, 0.0140580097
           4, -1.0087220519, -0.7792044054, 0.0000000000, 0.0000000000, 0.0000000000, -0.8029671511, -0.5524518123, -1.1486847603, 0.0000000000, 1.2945538357, -2.2353512787, 0.1958536271, 0.1993918439, 3.2323402639, 0.0000000000, 5.0000000000, 0.0177341390
           5, -6.0839961847, -1.8539714060, 0.0000000000, 0.0000000000, 0.0000000000, -2.6313080060, -0.5485237489, -6.3365086007, 0.0000000000, 3.2816019519, -2.2316145799, 0.1750590155, 0.1820897149, 3.2391335853, 0.0000000000, 5.0000000000, 0.0212385852
           6, -7.5538280609, -1.9101064771, 0.0000000000, 0.0000000000, 0.0000000000, -2.5595752419, -0.2978369035, -7.7858922614, 0.0000000000, 3.9546633401, -2.1916694801, 0.2014446869, 0.2102752358, 3.2784586917, 0.0000000000, 5.0000000000, 0.0248704413
           7, -5.1125828886, -1.2069050093, 0.0000000000, 0.0000000000, 0.0000000000, -1.5528808545, -0.1175654863, -5.2517903472, 0.0000000000, 4.2361104224, -2.1786023031, 0.2460825851, 0.2478503604, 3.2897358303, 0.0000000000, 5.0000000000, 0.0282234666
           8, -2.0489994433, -0.4423154724, 0.0000000000, 0.0000000000, 0.0000000000, -0.4336391904, -0.0066388794, -2.0961864471, 0.0000000000, 4.6324389968, -2.1671539868, 0.2723687214, 0.2789462800, 3.3001795569, 0.0000000000, 5.0000000000, 0.0315480907
           9, 2.0567690911, 0.4692209456, 0.0000000000, 0.0000000000, 0.0000000000, 0.7467026920, 0.0313410028, 2.1093802719, 0.0000000000, 4.3833701597, -2.1594977609, 0.2561172832, 0.2769919619, 3.3064657805, 0.0000000000, 5.0000000000, 0.0349626365
          10, 4.5782603451, 1.0529759997, 0.0000000000, 0.0000000000, 0.0000000000, 1.2426630108, 0.0780920983, 4.6971403925, 0.0000000000, 4.3479246883, -2.1735245975, 0.2165607653, 0.2417608101, 3.2938266459, 0.0000000000, 5.0000000000, 0.0383564213
          11, 5.0563366555, 1.2025625318, 0.0000000000, 0.0000000000, 0.0000000000, 1.1868550109, 0.1250121518, 5.1958703774, 0.0000000000, 4.2046351202, -2.1760127130, 0.1928099283, 0.2132501186, 3.2941040636, 0.0000000000, 5.0000000000, 0.0417157683
          12, 3.7050864809, 0.9000439629, 0.0000000000, 0.0000000000, 0.0000000000, 0.7285883851, 0.1100450480, 3.8112511139, 0.0000000000, 4.1165616721, -2.1937702938, 0.2056506009, 0.2269697775, 3.2735657936, 0.0000000000, 5.0000000000, 0.0450809880
          13, 1.3878365378, 0.3366339937, 0.0000000000, 0.0000000000, 0.0000000000, 0.1558565328, 0.0407302921, 1.4274991225, 0.0000000000, 4.1226868468, -2.2628478885, 0.2031438752, 0.2201514371, 3.1984508557, 0.0000000000, 5.0000000000, 0.0483738469
          14, -0.7339892803, -0.2297979325, 0.0000000000, 0.0000000000, 0.0000000000, -0.3324256827, -0.0721713441, -0.7657275302, 0.0000000000, 3.1940638985, -2.3283468111, 0.1186729462, 0.1292516803, 3.1356554424, 0.0000000000, 5.0000000000, 0.0516372570
          15, -1.9753416206, -0.5836854933, 0.0000000000, 0.0000000000, 0.0000000000, -0.6540291739, -0.1602339485, -2.0535307046, 0.0000000000, 3.3842568359, -2.3364145076, -0.0245861557, -0.0113326224, 3.1358770847, 0.0000000000, 5.0000000000, 0.0550396726
          16, -2.1586250118, -0.6407024766, 0.0000000000, 0.0000000000, 0.0000000000, -0.7626994669, -0.1778982142, -2.2446634114, 0.0000000000, 3.3691535319, -2.3595062394, -0.0219089292, -0.0028324879, 3.1116743963, 0.0000000000, 5.0000000000, 0.0584596493
          17, -1.4304157880, -0.4294487290, 0.0000000000, 0.0000000000, 0.0000000000, -0.6223323188, -0.1226640789, -1.4884451824, 0.0000000000, 3.3308185385, -2.4348761209, 0.0459723427, 0.0586939106, 3.0285112976, 0.0000000000, 5.0000000000, 0.0617713022
          18, -0.1558152577, -0.0710472255, 0.0000000000, 0.0000000000, 0.0000000000, -0.2658291141, -0.0370988595, -0.1671818693, 0.0000000000, 2.1931223432, -2.5147497316, 0.0199568242, 0.0287578482, 2.9451886607, 0.0000000000, 5.0000000000, 0.0652099088
          19, 1.2297435180, 0.2862432251, 0.0000000000, 0.0000000000, 0.0000000000, 0.1818518706, 0.0243100698, 1.2623839845, 0.0000000000, 4.2961489039, -2.5366799965, -0.1108343404, -0.0951590303, 2.9320323624, 0.0000000000, 5.0000000000, 0.0686014273
          20, 2.2574224402, 0.5158400824, 0.0000000000, 0.0000000000, 0.0000000000, 0.5305700550, 0.0352232226, 2.3153415275, 0.0000000000, 4.3762059543, -2.5418685581, -0.2653554098, -0.2252616162, 2.9325279281, 0.0000000000, 5.0000000000, 0.0720724049
          21, 2.5578893751, 0.5488913095, 0.0000000000, 0.0000000000, 0.0000000000, 0.6251551022, 0.0050816125, 2.6161142754, 0.0000000000, 4.6601017925, -2.5785002588, -0.2306853116, -0.2017557290, 2.8935678659, 0.0000000000, 5.0000000000, 0.0756209817
          22, 2.0278600937, 0.3933852084, 0.0000000000, 0.0000000000, 0.0000000000, 0.4336301461, -0.0368270230, 2.0653358691, 0.0000000000, 5.1548966514, -2.6428605339, -0.1576851212, -0.1488571858, 2.8223880989, 0.0000000000, 5.0000000000, 0.0796158958
          23, 0.9027764020, 0.1240019767, 0.0000000000, 0.0000000000, 0.0000000000, 0.0610242984, -0.0664055322, 0.9088300322, 0.0000000000, 7.2803387984, -2.7056773615, -0.1744783955, -0.1712514513, 2.7564164520, 0.0000000000, 5.0000000000, 0.0838662998
          24, -0.3174655690, -0.1465161037, 0.0000000000, 0.0000000000, 0.0000000000, -0.3100908039, -0.0773095721, -0.3409905955, 0.0000000000, 2.1667622936, -2.7450173951, -0.2901970584, -0.2776199913, 2.7227573501, 0.0000000000, 5.0000000000, 0.0872865045
          25, -1.0982160093, -0.3118067059, 0.0000000000, 0.0000000000, 0.0000000000, -0.5171929921, -0.0766610339, -1.1390456140, 0.0000000000, 3.5221051643, -2.7746892508, -0.4654752192, -0.4237829911, 2.6990250911, 0.0000000000, 5.0000000000, 0.0907859119
          26, -1.1207448545, -0.3126189967, 0.0000000000, 0.0000000000, 0.0000000000, -0.4896391049, -0.0727715639, -1.1612510347, 0.0000000000, 3.5850183967, -2.8248928852, -0.4995049399, -0.4581976572, 2.6479088947, 0.0000000000, 5.0000000000, 0.0941899525
          27, -0.4216554939, -0.1580729867, 0.0000000000, 0.0000000000, 0.0000000000, -0.2655732188, -0.0669516060, -0.4453065316, 0.0000000000, 2.6674734424, -2.9059350704, -0.4367457149, -0.4188322145, 2.5599171515, 0.0000000000, 5.0000000000, 0.0976597256
          28, 0.6480965863, 0.0813076009, 0.0000000000, 0.0000000000, 0.0000000000, 0.0425856007, -0.0552160223, 0.6508389217, 0.0000000000, 7.9709225093, -2.9866058199, -0.4571861131, -0.4469500334, 2.4746426519, 0.0000000000, 5.0000000000, 0.1011174399
          29, 1.6115166626, 0.3057443104, 0.0000000000, 0.0000000000, 0.0000000000, 0.3065530092, -0.0359900904, 1.6398689736, 0.0000000000, 5.2707985317, -3.0243308055, -0.5775180448, -0.5664343474, 2.4431502628, 0.0000000000, 5.0000000000, 0.1045043329
          30, 2.0901044606, 0.4284983497, 0.0000000000, 0.0000000000, 0.0000000000, 0.4334997554, -0.0154225197, 2.1335204799, 0.0000000000, 4.8777421476, -3.0502742981, -0.7085334900, -0.7097646445, 2.4228254526, 0.0000000000, 5.0000000000, 0.1079597095
          31, 1.9538006634, 0.4102307721, 0.0000000000, 0.0000000000, 0.0000000000, 0.3935834561, -0.0049517540, 1.9963972047, 0.0000000000, 4.7626867518, -3.1158395601, -0.6825089486, -0.7156124768, 2.3543921942, 0.0000000000, 5.0000000000, 0.1113288134
          32, 1.3394543731, 0.2713408356, 0.0000000000, 0.0000000000, 0.0000000000, 0.2209047069, -0.0130768362, 1.3665990133, 0.0000000000, 4.9364275391, -3.2155642580, -0.6451436084, -0.6881849089, 2.2450612173, 0.0000000000, 5.0000000000, 0.1147332103
          33, 0.5534094200, 0.0784342585, 0.0000000000, 0.0000000000, 0.0000000000, -0.0062664441, -0.0383400065, 0.5576234956, 0.0000000000, 7.0557104879, -3.2651785185, -0.7031071382, -0.7420699157, 2.1959890110, 0.0000000000, 5.0000000000, 0.1181411779
          34, -0.0779010004, -0.0875039261, 0.0000000000, 0.0000000000, 0.0000000000, -0.1975536175, -0.0693952267, -0.0943917658, 0.0000000000, 0.8902572015, -3.2416829872, -0.8468749647, -0.8469525766, 2.2302901656, 0.0000000000, 5.0000000000, 0.1215670272
          35, -0.3376536984, -0.1658173094, 0.0000000000, 0.0000000000, 0.0000000000, -0.2846033033, -0.0919916520, -0.3647505122, 0.0000000000, 2.0362994647, -3.2376607160, -0.9202740904, -0.8484611597, 2.2365163669, 0.0000000000, 5.0000000000, 0.1256409659
          36, -0.1815887027, -0.1380929565, 0.0000000000, 0.0000000000, 0.0000000000, -0.2452711521, -0.0973208799, -0.2063316939, 0.0000000000, 1.3149743999, -3.2858578162, -0.8468638285, -0.7738494922, 2.1814896229, 0.0000000000, 5.0000000000, 0.1290376229
          37, 0.2751081530, -0.0293748945, 0.0000000000, 0.0000000000, 0.0000000000, -0.1084425286, -0.0859311839, 0.2629889958, 0.0000000000, -9.3654175553, -3.3468635466, -0.8187402021, -0.7586017644, 2.1116772526, 0.0000000000, 5.0000000000, 0.1324283359
          38, 0.8261686305, 0.1086025164, 0.0000000000, 0.0000000000, 0.0000000000, 0.0624013744, -0.0655408260, 0.8306945966, 0.0000000000, 7.6072696809, -3.3462543582, -0.8675057268, -0.8198999703, 2.1172453670, 0.0000000000, 5.0000000000, 0.1358644553
          39, 1.2628426044, 0.2218042527, 0.0000000000, 0.0000000000, 0.0000000000, 0.1987021246, -0.0456024435, 1.2813621608, 0.0000000000, 5.6935004131, -3.3059346439, -0.9096200247, -0.8984544729, 2.1656367242, 0.0000000000, 5.0000000000, 0.1392815027
          40, 1.4490598183, 0.2744937566, 0.0000000000, 0.0000000000, 0.0000000000, 0.2553368130, -0.0327810675, 1.4744648456, 0.0000000000, 5.2790265114, -3.2936457398, -0.8547549661, -0.8869330941, 2.1777248712, 0.0000000000, 5.0000000000, 0.1428589297
          41, 1.3597812485, 0.2588598917, 0.0000000000, 0.0000000000, 0.0000000000, 0.2253429926, -0.0295112365, 1.3838867635, 0.0000000000, 5.2529622862, -3.3240650057, -0.7935795681, -0.8415203149, 2.1411433493, 0.0000000000, 5.0000000000, 0.1466219446
          42, 1.0743942753, 0.1925802106, 0.0000000000, 0.0000000000, 0.0000000000, 0.1362103788, -0.0350072594, 1.0909558599, 0.0000000000, 5.5789443360, -3.3671459152, -0.7962571189, -0.8511254366, 2.0936727371, 0.0000000000, 5.0000000000, 0.1505405282
          43, 0.7329511101, 0.1079689669, 0.0000000000, 0.0000000000, 0.0000000000, 0.0326358874, -0.0467795186, 0.7393823803, 0.0000000000, 6.7885349921, -3.3761465378, -0.8610413847, -0.9114122019, 2.0900634496, 0.0000000000, 5.0000000000, 0.1542015624
          44, 0.4754500934, 0.0382627890, 0.0000000000, 0.0000000000, 0.0000000000, -0.0440595628, -0.0614249776, 0.4730156493, 0.0000000000, 12.4259131626, -3.3594381369, -0.9256520721, -0.9350766473, 2.1123695001, 0.0000000000, 5.0000000000, 0.1579296477
          45, 0.3888465504, 0.0060587875, 0.0000000000, 0.0000000000, 0.0000000000, -0.0706182930, -0.0749193553, 0.3816090131, 0.0000000000, 64.1789381487, -3.3616667782, -0.9099173607, -0.8803684316, 2.1081856142, 0.0000000000, 5.0000000000, 0.1613075463
          46, 0.4813147670, 0.0171573593, 0.0000000000, 0.0000000000, 0.0000000000, -0.0464166964, -0.0832885372, 0.4743641001, 0.0000000000, 28.0529631571, -3.3972962468, -0.8743840617, -0.8413179201, 2.0656177297, 0.0000000000, 5.0000000000, 0.1647574850
          47, 0.6905879486, 0.0609181168, 0.0000000000, 0.0000000000, 0.0000000000, 0.0109898502, -0.0839943983, 0.6881625337, 0.0000000000, 11.3363312159, -3.4418633024, -0.8909630980, -0.8685986988, 2.0173773968, 0.0000000000, 5.0000000000, 0.1697280111
          48, 0.9188178704, 0.1162409191, 0.0000000000, 0.0000000000, 0.0000000000, 0.0754410677, -0.0773322008, 0.9229073415, 0.0000000000, 7.9044270929, -3.4562584622, -0.9585007918, -0.9593130631, 2.0092417985, 0.0000000000, 5.0000000000, 0.1732785835
          49, 1.0764191497, 0.1606028403, 0.0000000000, 0.0000000000, 0.0000000000, 0.1225722079, -0.0667068425, 1.0862880168, 0.0000000000, 6.7023668290, -3.4481578480, -0.9992707233, -1.0432542589, 2.0233211219, 0.0000000000, 5.0000000000, 0.1766720547
          50, 1.1160378351, 0.1786896567, 0.0000000000, 0.0000000000, 0.0000000000, 0.1378786137, -0.0572524543, 1.1288013994, 0.0000000000, 6.2456767537, -3.4566555143, -0.9512093990, -1.0195416338, 2.0132182712, 0.0000000000, 5.0000000000, 0.1802789021
          51, 1.0445426731, 0.1674364436, 0.0000000000, 0.0000000000, 0.0000000000, 0.1205394549, -0.0533950777, 1.0565289037, 0.0000000000, 6.2384427826, -3.4961058255, -0.8992827463, -0.9676223997, 1.9671319439, 0.0000000000, 5.0000000000, 0.1840242704
          52, 0.9117814748, 0.1358114445, 0.0000000000, 0.0000000000, 0.0000000000, 0.0822692200, -0.0567263895, 0.9200936491, 0.0000000000, 6.7135835149, -3.5485926415, -0.9018634294, -0.9669829801, 1.9103251839, 0.0000000000, 5.0000000000, 0.1874924543
          53, 0.7843324832, 0.0998617683, 0.0000000000, 0.0000000000, 0.0000000000, 0.0417494036, -0.0653923437, 0.7879553657, 0.0000000000, 7.8541817996, -3.5818809501, -0.9614581469, -1.0192421316, 1.8820923360, 0.0000000000, 5.0000000000, 0.1911175112
          54, 0.7169272994, 0.0754306274, 0.0000000000, 0.0000000000, 0.0000000000, 0.0167010674, -0.0752752798, 0.7169436271, 0.0000000000, 9.5044589216, -3.5933871353, -1.0426290408, -1.0800799682, 1.8777998582, 0.0000000000, 5.0000000000, 0.1948136602
          55, 0.7328434207, 0.0717449466, 0.0000000000, 0.0000000000, 0.0000000000, 0.0167506622, -0.0821895673, 0.7317456468, 0.0000000000, 10.2145650037, -3.6096228609, -1.0707503820, -1.0867544560, 1.8620407044, 0.0000000000, 5.0000000000, 0.1983302723
          56, 0.8192050490, 0.0884008953, 0.0000000000, 0.0000000000, 0.0000000000, 0.0400785951, -0.0838531833, 0.8196830327, 0.0000000000, 9.2669315909, -3.6426928969, -1.0396976847, -1.0581771485, 1.8234524131, 0.0000000000, 5.0000000000, 0.2020630186
          57, 0.9367077663, 0.1166187892, 0.0000000000, 0.0000000000, 0.0000000000, 0.0751955439, -0.0806821066, 0.9404848638, 0.0000000000, 8.0322199576, -3.6816332419, -1.0138976630, -1.0509963304, 1.7790574726, 0.0000000000, 5.0000000000, 0.2056876337
          58, 1.0381372770, 0.1437656096, 0.0000000000, 0.0000000000, 0.0000000000, 0.1067495849, -0.0752168904, 1.0453420377, 0.0000000000, 7.2210404122, -3.7119175747, -1.0151404669, -1.0821250599, 1.7494146147, 0.0000000000, 5.0000000000, 0.2095725706
          59, 1.0876717295, 0.1589237581, 0.0000000000, 0.0000000000, 0.0000000000, 0.1224352133, -0.0706887756, 1.0969455998, 0.0000000000, 6.8439844502, -3.7365512849, -1.0293598644, -1.1366652421, 1.7293062546, 0.0000000000, 5.0000000000, 0.2133069990
          60, 1.0736096058, 0.1571239925, 0.0000000000, 0.0000000000, 0.0000000000, 0.1178106477, -0.0695255322, 1.0828165750, 0.0000000000, 6.8328814007, -3.7680789653, -1.0371437095, -1.1783364206, 1.7003259982, 0.0000000000, 5.0000000000, 0.2169048092
          61, 1.0103665628, 0.1406977198, 0.0000000000, 0.0000000000, 0.0000000000, 0.0971746184, -0.0724438833, 1.0175403301, 0.0000000000, 7.1811154017, -3.8090224221, -1.0365300170, -1.1829210570, 1.6582977720, 0.0000000000, 5.0000000000, 0.2203846672
          62, 0.9300512065, 0.1175546649, 0.0000000000, 0.0000000000, 0.0000000000, 0.0706919175, -0.0783827055, 0.9341683453, 0.0000000000, 7.9116486568, -3.8500644773, -1.0389024404, -1.1687804573, 1.6150621712, 0.0000000000, 5.0000000000, 0.2238850581
          63, 0.8679708270, 0.0974430562, 0.0000000000, 0.0000000000, 0.0000000000, 0.0495628816, -0.0851475906, 0.8692631325, 0.0000000000, 8.9074671979, -3.8835660547, -1.0495514867, -1.1598367537, 1.5812435742, 0.0000000000, 5.0000000000, 0.2273252684
          64, 0.8484593082, 0.0879204741, 0.0000000000, 0.0000000000, 0.0000000000, 0.0415264544, -0.0904054086, 0.8481981311, 0.0000000000, 9.6503040623, -3.9129234949, -1.0625580518, -1.1608450801, 1.5526333702, 0.0000000000, 5.0000000000, 0.2307954407
          65, 0.8766852827, 0.0916621095, 0.0000000000, 0.0000000000, 0.0000000000, 0.0484054103, -0.0926140470, 0.8765852300, 0.0000000000, 9.5643149363, -3.9421889427, -1.0692401518, -1.1670285430, 1.5226680683, 0.0000000000, 5.0000000000, 0.2343240760
          66, 0.9390409012, 0.1059908360, 0.0000000000, 0.0000000000, 0.0000000000, 0.0662677872, -0.0915628996, 0.9405573384, 0.0000000000, 8.8596423661, -3.9644891831, -1.0676236341, -1.1752673954, 1.4983980710, 0.0000000000, 5.0000000000, 0.2378108615
          67, 1.0108918980, 0.1245567375, 0.0000000000, 0.0000000000, 0.0000000000, 0.0876831324, -0.0883413698, 1.0146982866, 0.0000000000, 8.1159150278, -3.9711227390, -1.0614065159, -1.1855149556, 1.4910633032, 0.0000000000, 5.0000000000, 0.2412957012
          68, 1.0675148153, 0.1401896171, 0.0000000000, 0.0000000000, 0.0000000000, 0.1049120047, -0.0848226726, 1.0733341156, 0.0000000000, 7.6147922914, -3.9688528048, -1.0535008134, -1.1960600384, 1.4941714472, 0.0000000000, 5.0000000000, 0.2447155495
          69, 1.0934427562, 0.1477109720, 0.0000000000, 0.0000000000, 0.0000000000, 0.1127389729, -0.0828563994, 1.1002592464, 0.0000000000, 7.4025831778, -3.9728380176, -1.0451760202, -1.2025308097, 1.4904866625, 0.0000000000, 5.0000000000, 0.2481304874
          70, 1.0867458447, 0.1455984812, 0.0000000000, 0.0000000000, 0.0000000000, 0.1100067762, -0.0835303610, 1.0932694670, 0.0000000000, 7.4639916271, -3.9880507400, -1.0384899921, -1.2027164573, 1.4743077099, 0.0000000000, 5.0000000000, 0.2514844677
          71, 1.0574873428, 0.1360397227, 0.0000000000, 0.0000000000, 0.0000000000, 0.0994803684, -0.0867970531, 1.0626629559, 0.0000000000, 7.7733717901, -4.0047984577, -1.0357162858, -1.1989220254, 1.4567790935, 0.0000000000, 5.0000000000, 0.2562916566
          72, 1.0219783746, 0.1235842640, 0.0000000000, 0.0000000000, 0.0000000000, 0.0862994453, -0.0915976005, 1.0253403084, 0.0000000000, 8.2694862737, -4.0103391905, -1.0366760017, -1.1939772788, 1.4520918996, 0.0000000000, 5.0000000000, 0.2601769499
          73, 0.9957752428, 0.1131113475, 0.0000000000, 0.0000000000, 0.0000000000, 0.0757598291, -0.0963937212, 0.9975323361, 0.0000000000, 8.8034955334, -4.0056359882, -1.0384242159, -1.1883927990, 1.4580014150, 0.0000000000, 5.0000000000, 0.2635896570
          74, 0.9882475128, 0.1079832030, 0.0000000000, 0.0000000000, 0.0000000000, 0.0713388667, -0.0998447004, 0.9891029039, 0.0000000000, 9.1518633032, -4.0019149631, -1.0382398264, -1.1826579624, 1.4613875090, 0.0000000000, 5.0000000000, 0.2671402792
          75, 1.0003911558, 0.1090563731, 0.0000000000, 0.0000000000, 0.0000000000, 0.0736916429, -0.1013197870, 1.0012043038, 0.0000000000, 9.1731562956, -4.0041084493, -1.0361482383, -1.1793305304, 1.4576590246, 0.0000000000, 5.0000000000, 0.2707187681
          76, 1.0260551520, 0.1147880549, 0.0000000000, 0.0000000000, 0.0000000000, 0.0808777786, -0.1010492011, 1.0274991638, 0.0000000000, 8.9386927356, -4.0066709005, -1.0336027691, -1.1806404984, 1.4542908692, 0.0000000000, 5.0000000000, 0.2741603539
          77, 1.0554973870, 0.1222214077, 0.0000000000, 0.0000000000, 0.0000000000, 0.0895467312, -0.0998996697, 1.0578434962, 0.0000000000, 8.6359452666, -4.0031752490, -1.0308227949, -1.1850741690, 1.4586331655, 0.0000000000, 5.0000000000, 0.2775700605
          78, 1.0795677250, 0.1283321728, 0.0000000000, 0.0000000000, 0.0000000000, 0.0964581805, -0.0989269441, 1.0826583391, 0.0000000000, 8.4122921116, -3.9960776536, -1.0269115323, -1.1881532182, 1.4668232492, 0.0000000000, 5.0000000000, 0.2814982514
          79, 1.0929049965, 0.1311655422, 0.0000000000, 0.0000000000, 0.0000000000, 0.0996791548, -0.0989284654, 1.0962932498, 0.0000000000, 8.3322569213, -3.9928584994, -1.0221067065, -1.1873836244, 1.4699926266, 0.0000000000, 5.0000000000, 0.2852455155
