"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, -5.7175753115, 4.8417919457, 0.0000000000, 0.0000000000, 0.0000000000, 0.8153493301, 4.5359216668, -5.9631393847, 0.0000000000, -1.1808800080, -2.1772258253, -1.0017033213, -2.2823075639, 3.2845992500, 0.0000000000, 5.0000000000, 0.0060465081
           1, -1.0823298814, -0.0987049329, 0.0000000000, 0.0000000000, 0.0000000000, 0.0284687374, -0.1552144305, -1.0756807689, 0.0000000000, 10.9653069014, -2.0770110815, -0.0750670150, 0.1011115866, 3.3888076508, 0.0000000000, 5.0000000000, 0.0124903482
           2, -2.2689496097, 0.8509543415, 0.0000000000, 0.0000000000, 0.0000000000, 0.1494117998, 0.7310404906, -2.3103756023, 0.0000000000, -2.6663588151, -2.2830566502, 0.0177304698, 0.0947919735, 3.1828509503, 0.0000000000, 5.0000000000, 0.0192625876
           3, 0.6309445341, -0.7176006672, 0.0000000000, 0.0000000000, 0.0000000000, -0.3403789080, -0.6835961349, 0.6676361637, 0.0000000000, -0.8792418444, -2.4670633805, -0.0301312990, 0.0023877285, 2.9994014693, 0.0000000000, 5.0000000000, 0.0257935057
           4, 1.8781934761, -0.8406383850, 0.0000000000, 0.0000000000, 0.0000000000, 0.0862740747, -0.7411892678, 1.9196150910, 0.0000000000, -2.2342466268, -2.4860151657, -0.0809635636, -0.0595575757, 2.9854335408, 0.0000000000, 5.0000000000, 0.0326068538
           5, 1.3063012491, -0.3933293955, 0.0000000000, 0.0000000000, 0.0000000000, -0.0010490750, -0.3244238262, 1.3250962786, 0.0000000000, -3.3211381203, -2.4853666346, -0.0979189090, -0.1068565231, 2.9838593919, 0.0000000000, 5.0000000000, 0.0387656483
           6, 1.3055323186, -0.0714091954, 0.0000000000, 0.0000000000, 0.0000000000, 0.3504128966, -0.0029850493, 1.3074804005, 0.0000000000, -18.2824118216, -2.4846055098, -0.0768348276, -0.0804711391, 2.9835654288, 0.0000000000, 5.0000000000, 0.0452630124
           7, 0.1252699602, 0.2685959040, 0.0000000000, 0.0000000000, 0.0000000000, 0.2735667370, 0.2747839258, 0.1110410586, 0.0000000000, 0.4663881999, -2.4957544133, -0.0682165811, -0.0677340589, 2.9741332231, 0.0000000000, 5.0000000000, 0.0525661513
           8, -0.2156514590, 0.2391569977, 0.0000000000, 0.0000000000, 0.0000000000, 0.2083249295, 0.2275429160, -0.2278724264, 0.0000000000, -0.9017150286, -2.5029582479, -0.0602521193, -0.0724369247, 2.9649220295, 0.0000000000, 5.0000000000, 0.0589801576
           9, -0.4693777967, 0.1063039437, 0.0000000000, 0.0000000000, 0.0000000000, 0.0160535570, 0.0815929220, -0.4742980493, 0.0000000000, -4.4154316422, -2.4913381527, -0.0701664676, -0.0922150020, 2.9777042791, 0.0000000000, 5.0000000000, 0.0652988613
          10, -0.6532312178, 0.0426947875, 0.0000000000, 0.0000000000, 0.0000000000, -0.1862742505, 0.0084487953, -0.6545704597, 0.0000000000, -15.3000227102, -2.4982739589, -0.1022191913, -0.1201514261, 2.9732807500, 0.0000000000, 5.0000000000, 0.0719354305
