"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 39.9341936697, 17.2223058647, 0.0000000000, 0.0000000000, 0.0000000000, 13.2928563258, 4.0390417176, 43.3016603071, 0.0000000000, 2.3187483711, -1.8385619079, -0.6842374847, -1.1724614462, 3.6232631674, 0.0000000000, 5.0000000000, 0.0050789782
           1, 3.5443428759, 1.4244364365, 0.0000000000, 0.0000000000, 0.0000000000, 1.3293504491, 0.2594573724, 3.8110454544, 0.0000000000, 2.4882422165, -1.6974398453, 0.1258055375, 0.4549990649, 3.7657231683, 0.0000000000, 5.0000000000, 0.0106371850
           2, 23.5267231916, 8.8757781526, 0.0000000000, 0.0000000000, 0.0000000000, 7.6990913591, 1.1712093611, 25.1180096859, 0.0000000000, 2.6506659796, -1.8625715320, 0.3068496105, 0.5072458795, 3.6026451725, 0.0000000000, 5.0000000000, 0.0159826998
           3, -1.2165777395, -0.9967626443, 0.0000000000, 0.0000000000, 0.0000000000, -1.2334558271, -0.5720344116, -1.4650507831, 0.0000000000, 1.2205290261, -2.0565519699, 0.3500722512, 0.4192878632, 3.4084992108, 0.0000000000, 5.0000000000, 0.0207977570
           4, -2.1210517066, -1.2072070519, 0.0000000000, 0.0000000000, 0.0000000000, -1.1389454031, -0.4926811099, -2.3902875418, 0.0000000000, 1.7569908189, -2.1025976057, 0.3369886891, 0.3421462477, 3.3650981582, 0.0000000000, 5.0000000000, 0.0261216627
           5, -8.6776984068, -3.5121812463, 0.0000000000, 0.0000000000, 0.0000000000, -3.6428011037, -0.6587265810, -9.3383053087, 0.0000000000, 2.4707433353, -2.0918827060, 0.3129794292, 0.3222038055, 3.3792447280, 0.0000000000, 5.0000000000, 0.0318922336
           6, -10.6018583867, -3.8883119863, 0.0000000000, 0.0000000000, 0.0000000000, -3.6742442765, -0.4218500385, -11.2845209867, 0.0000000000, 2.7265966373, -2.0512687655, 0.3368068228, 0.3479006525, 3.4189013886, 0.0000000000, 5.0000000000, 0.0368990862
           7, -6.8431755828, -2.5105721608, 0.0000000000, 0.0000000000, 0.0000000000, -2.2519744738, -0.2730384626, -7.2840561935, 0.0000000000, 2.7257434340, -2.0421626123, 0.3839323686, 0.3878631869, 3.4260359946, 0.0000000000, 5.0000000000, 0.0426443420
           8, -2.5969836852, -0.9421737095, 0.0000000000, 0.0000000000, 0.0000000000, -0.6596698297, -0.0935483530, -2.7610259444, 0.0000000000, 2.7563746038, -2.0317362846, 0.4109159672, 0.4186342664, 3.4355251589, 0.0000000000, 5.0000000000, 0.0479356059
           9, 2.9894835133, 0.9800190175, 0.0000000000, 0.0000000000, 0.0000000000, 1.0465658715, 0.0082522626, 3.1460103069, 0.0000000000, 3.0504341855, -2.0262198304, 0.3900619320, 0.4133333236, 3.4396701837, 0.0000000000, 5.0000000000, 0.0532458847
          10, 6.4208413820, 2.1774391884, 0.0000000000, 0.0000000000, 0.0000000000, 1.8069586549, 0.0867186237, 6.7794487499, 0.0000000000, 2.9488039971, -2.0408251147, 0.3457113867, 0.3755543767, 3.4265910234, 0.0000000000, 5.0000000000, 0.0591849742
          11, 7.0457364666, 2.4255076901, 0.0000000000, 0.0000000000, 0.0000000000, 1.7286044208, 0.1295425879, 7.4504166749, 0.0000000000, 2.9048501868, -2.0424850373, 0.3203271848, 0.3479203677, 3.4278179997, 0.0000000000, 5.0000000000, 0.0660930619
          12, 5.1442587013, 1.7685844337, 0.0000000000, 0.0000000000, 0.0000000000, 1.0453824922, 0.0923603881, 5.4390034054, 0.0000000000, 2.9086870852, -2.0628876951, 0.3329632628, 0.3646646531, 3.4044588517, 0.0000000000, 5.0000000000, 0.0715978231
          13, 1.7994661517, 0.6008903506, 0.0000000000, 0.0000000000, 0.0000000000, 0.1651640966, 0.0154150619, 1.8970793395, 0.0000000000, 2.9946664144, -2.1337009842, 0.3306793416, 0.3574998375, 3.3272516812, 0.0000000000, 5.0000000000, 0.0771885221
          14, -1.3022086874, -0.5216289990, 0.0000000000, 0.0000000000, 0.0000000000, -0.5738183525, -0.0936940439, -1.3996662832, 0.0000000000, 2.4964269433, -2.1973694107, 0.2453352637, 0.2657610521, 3.2664651934, 0.0000000000, 5.0000000000, 0.0827198600
          15, -3.0974857089, -1.1954593514, 0.0000000000, 0.0000000000, 0.0000000000, -1.0249397320, -0.1797736822, -3.3153012232, 0.0000000000, 2.5910422679, -2.2024567797, 0.0974239697, 0.1313414964, 3.2700598041, 0.0000000000, 5.0000000000, 0.0884031960
          16, -3.2500984699, -1.2803812477, 0.0000000000, 0.0000000000, 0.0000000000, -1.1309224308, -0.2133792684, -3.4866868932, 0.0000000000, 2.5383833728, -2.2237501594, 0.1027679044, 0.1421651274, 3.2475225394, 0.0000000000, 5.0000000000, 0.0937667138
          17, -2.0009065463, -0.8474779712, 0.0000000000, 0.0000000000, 0.0000000000, -0.8749380655, -0.1876853200, -2.1648603048, 0.0000000000, 2.3610130462, -2.2982908991, 0.1787139718, 0.1986259996, 3.1647454576, 0.0000000000, 5.0000000000, 0.0988540876
          18, 0.0018996646, -0.1312724925, 0.0000000000, 0.0000000000, 0.0000000000, -0.3385013620, -0.1254345881, -0.0387587426, 0.0000000000, -0.0144711554, -2.3766371713, 0.1567142099, 0.1671262666, 3.0829033373, 0.0000000000, 5.0000000000, 0.1045567308
          19, 2.0169831791, 0.5892680855, 0.0000000000, 0.0000000000, 0.0000000000, 0.2930939453, -0.0628548272, 2.1003588484, 0.0000000000, 3.4228617311, -2.3956497624, 0.0275797801, 0.0469119487, 3.0730762902, 0.0000000000, 5.0000000000, 0.1096649583
          20, 3.3470406899, 1.0618080914, 0.0000000000, 0.0000000000, 0.0000000000, 0.7627887059, -0.0244529497, 3.5113416035, 0.0000000000, 3.1522086874, -2.3995671543, -0.1228313125, -0.0748246953, 3.0747192193, 0.0000000000, 5.0000000000, 0.1150930256
          21, 3.5493300285, 1.1342439257, 0.0000000000, 0.0000000000, 0.0000000000, 0.8684874781, -0.0180732208, 3.7261141009, 0.0000000000, 3.1292475524, -2.4378732030, -0.0858141454, -0.0554099416, 3.0336745218, 0.0000000000, 5.0000000000, 0.1208846640
          22, 2.6085612311, 0.8078699853, 0.0000000000, 0.0000000000, 0.0000000000, 0.5755307414, -0.0377597374, 2.7305347117, 0.0000000000, 3.2289369311, -2.5044222220, -0.0167920869, -0.0093644717, 2.9600951755, 0.0000000000, 5.0000000000, 0.1263000095
          23, 0.9553821888, 0.2341329444, 0.0000000000, 0.0000000000, 0.0000000000, 0.0351603490, -0.0725556700, 0.9809735150, 0.0000000000, 4.0805115705, -2.5636193944, -0.0373927601, -0.0333653554, 2.8986064961, 0.0000000000, 5.0000000000, 0.1315290544
          24, -0.6904553487, -0.3412361646, 0.0000000000, 0.0000000000, 0.0000000000, -0.4937848309, -0.1111724413, -0.7621098326, 0.0000000000, 2.0233944123, -2.5959538339, -0.1517831569, -0.1323235478, 2.8723579853, 0.0000000000, 5.0000000000, 0.1368327621
          25, -1.6362060379, -0.6820691563, 0.0000000000, 0.0000000000, 0.0000000000, -0.7795802989, -0.1430708437, -1.7668953750, 0.0000000000, 2.3988858354, -2.6253350174, -0.3089335625, -0.2568038447, 2.8478209874, 0.0000000000, 5.0000000000, 0.1421492699
          26, -1.5202855049, -0.6611505824, 0.0000000000, 0.0000000000, 0.0000000000, -0.7219664588, -0.1589975123, -1.6501842018, 0.0000000000, 2.2994542324, -2.6790594666, -0.3356808784, -0.2895337833, 2.7924532221, 0.0000000000, 5.0000000000, 0.1475284814
          27, -0.4587435499, -0.3097866906, 0.0000000000, 0.0000000000, 0.0000000000, -0.3807151447, -0.1528650978, -0.5320203944, 0.0000000000, 1.4808368591, -2.7558869740, -0.2890600100, -0.2678413774, 2.7094898188, 0.0000000000, 5.0000000000, 0.1538912087
          28, 1.0356260435, 0.2049964267, 0.0000000000, 0.0000000000, 0.0000000000, 0.0733766521, -0.1250628598, 1.0482862768, 0.0000000000, 5.0519224173, -2.8208996398, -0.3139958061, -0.2995017620, 2.6420928375, 0.0000000000, 5.0000000000, 0.1593751590
          29, 2.3124209134, 0.6622684417, 0.0000000000, 0.0000000000, 0.0000000000, 0.4478902897, -0.0847226434, 2.4038951815, 0.0000000000, 3.4916670762, -2.8515588071, -0.4179683484, -0.4011721175, 2.6166623803, 0.0000000000, 5.0000000000, 0.1648722088
          30, 2.8798073436, 0.8851340989, 0.0000000000, 0.0000000000, 0.0000000000, 0.6095281556, -0.0480968571, 3.0123810187, 0.0000000000, 3.2535266092, -2.8842563637, -0.5139905057, -0.5106631626, 2.5873785186, 0.0000000000, 5.0000000000, 0.1700284511
          31, 2.5967449433, 0.8099853807, 0.0000000000, 0.0000000000, 0.0000000000, 0.5253798662, -0.0320964432, 2.7199504473, 0.0000000000, 3.2059158169, -2.9534817752, -0.5022475882, -0.5301575380, 2.5149822323, 0.0000000000, 5.0000000000, 0.1753903439
          32, 1.6869922779, 0.5000843724, 0.0000000000, 0.0000000000, 0.0000000000, 0.2586588991, -0.0457007822, 1.7589595685, 0.0000000000, 3.3734153095, -3.0411643020, -0.4905289061, -0.5281130003, 2.4205338014, 0.0000000000, 5.0000000000, 0.1808035655
          33, 0.5953633624, 0.1045933416, 0.0000000000, 0.0000000000, 0.0000000000, -0.0685054564, -0.0845032177, 0.5985453254, 0.0000000000, 5.6921726885, -3.0767895444, -0.5571594746, -0.5818461037, 2.3873190313, 0.0000000000, 5.0000000000, 0.1857417278
          34, -0.2257711763, -0.2125429664, 0.0000000000, 0.0000000000, 0.0000000000, -0.3266624322, -0.1323732428, -0.2804005371, 0.0000000000, 1.0622378156, -3.0630077219, -0.6855407365, -0.6593700516, 2.4085875826, 0.0000000000, 5.0000000000, 0.1911841275
          35, -0.4979613962, -0.3401898014, 0.0000000000, 0.0000000000, 0.0000000000, -0.4270717206, -0.1696611934, -0.5787138606, 0.0000000000, 1.4637752049, -3.0725189773, -0.7332958665, -0.6567196065, 2.3996787121, 0.0000000000, 5.0000000000, 0.1964358507
          36, -0.1969568085, -0.2561917083, 0.0000000000, 0.0000000000, 0.0000000000, -0.3503552983, -0.1827897926, -0.2664846478, 0.0000000000, 0.7687868190, -3.1241869543, -0.6728817796, -0.6094831362, 2.3416573849, 0.0000000000, 5.0000000000, 0.2021940206
          37, 0.4808076014, -0.0222701227, 0.0000000000, 0.0000000000, 0.0000000000, -0.1466507378, -0.1697578652, 0.4503933560, 0.0000000000, -21.5898047569, -3.1759898503, -0.6552017729, -0.6115052776, 2.2837232226, 0.0000000000, 5.0000000000, 0.2080224701
          38, 1.2303445287, 0.2533218437, 0.0000000000, 0.0000000000, 0.0000000000, 0.0915380690, -0.1392739781, 1.2484079361, 0.0000000000, 4.8568434153, -3.1718181869, -0.7024155183, -0.6770638390, 2.2929448767, 0.0000000000, 5.0000000000, 0.2133954525
          39, 1.7705676446, 0.4644878014, 0.0000000000, 0.0000000000, 0.0000000000, 0.2708025834, -0.1053813416, 1.8274445203, 0.0000000000, 3.8118711387, -3.1410214492, -0.7382804950, -0.7469481770, 2.3299312892, 0.0000000000, 5.0000000000, 0.2186761114
          40, 1.9443384177, 0.5464125951, 0.0000000000, 0.0000000000, 0.0000000000, 0.3340907440, -0.0811643547, 2.0180264999, 0.0000000000, 3.5583704238, -3.1369271575, -0.6898424697, -0.7291300246, 2.3333079217, 0.0000000000, 5.0000000000, 0.2240798897
          41, 1.7555933381, 0.4922749583, 0.0000000000, 0.0000000000, 0.0000000000, 0.2781126507, -0.0743268698, 1.8217898122, 0.0000000000, 3.5662860936, -3.1686872888, -0.6383085983, -0.6852282536, 2.2958679315, 0.0000000000, 5.0000000000, 0.2295568341
          42, 1.3411963201, 0.3457358324, 0.0000000000, 0.0000000000, 0.0000000000, 0.1459738808, -0.0856381394, 1.3823917477, 0.0000000000, 3.8792517127, -3.2073205404, -0.6486282567, -0.6935304372, 2.2538894882, 0.0000000000, 5.0000000000, 0.2350814370
          43, 0.8986092614, 0.1765301916, 0.0000000000, 0.0000000000, 0.0000000000, 0.0021215007, -0.1097953440, 0.9091790228, 0.0000000000, 5.0903998523, -3.2139469198, -0.7210603789, -0.7483530773, 2.2525192668, 0.0000000000, 5.0000000000, 0.2416966964
          44, 0.6027592249, 0.0509163713, 0.0000000000, 0.0000000000, 0.0000000000, -0.0966291569, -0.1378384974, 0.5889921126, 0.0000000000, 11.8382204020, -3.2000236623, -0.7885036934, -0.7719943323, 2.2712801227, 0.0000000000, 5.0000000000, 0.2468678770
          45, 0.5442200809, 0.0082148963, 0.0000000000, 0.0000000000, 0.0000000000, -0.1213245319, -0.1603604230, 0.5201225968, 0.0000000000, 66.2479548699, -3.2042897565, -0.7634375167, -0.7259289905, 2.2649098733, 0.0000000000, 5.0000000000, 0.2521367620
          46, 0.7084977768, 0.0507500462, 0.0000000000, 0.0000000000, 0.0000000000, -0.0761716282, -0.1706716913, 0.6895040542, 0.0000000000, 13.9605346073, -3.2378220148, -0.7191912967, -0.6920928158, 2.2249379922, 0.0000000000, 5.0000000000, 0.2577518853
          47, 0.9981487822, 0.1486771562, 0.0000000000, 0.0000000000, 0.0000000000, 0.0096268419, -0.1670445584, 0.9952396715, 0.0000000000, 6.7135315708, -3.2781124210, -0.7300620387, -0.7203598549, 2.1816771910, 0.0000000000, 5.0000000000, 0.2628350755
          48, 1.2833252432, 0.2559388634, 0.0000000000, 0.0000000000, 0.0000000000, 0.0973751526, -0.1531569857, 1.2996042934, 0.0000000000, 5.0141866944, -3.2931511098, -0.7929564312, -0.8097119970, 2.1724480980, 0.0000000000, 5.0000000000, 0.2680153858
