"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 25.8869087817, 9.3827502710, 0.0000000000, 0.0000000000, 0.0000000000, 9.2496002576, 4.2709076635, 27.2016065087, 0.0000000000, 2.7589894257, -1.9872036861, -0.8191390120, -1.5304867435, 3.4746213892, 0.0000000000, 5.0000000000, 0.0032639945
           1, 2.1450460812, 0.5470857584, 0.0000000000, 0.0000000000, 0.0000000000, 0.9039349130, 0.1277401644, 2.2100244270, 0.0000000000, 3.9208589297, -1.8506160474, -0.0005489188, 0.2982125494, 3.6125070105, 0.0000000000, 5.0000000000, 0.0071449118
           2, 15.6946137424, 4.1212794224, 0.0000000000, 0.0000000000, 0.0000000000, 5.2493778360, 1.0508864306, 16.1926366695, 0.0000000000, 3.8081896746, -2.0211989148, 0.1554028241, 0.3381172156, 3.4438640271, 0.0000000000, 5.0000000000, 0.0123532028
           3, -0.6028510940, -0.7228076983, 0.0000000000, 0.0000000000, 0.0000000000, -0.9564220720, -0.5944982735, -0.7296932322, 0.0000000000, 0.8340407766, -2.2169678816, 0.1809042515, 0.2470183310, 3.2483229503, 0.0000000000, 5.0000000000, 0.0159088496
           4, -0.8163933146, -0.7324791018, 0.0000000000, 0.0000000000, 0.0000000000, -0.7450498195, -0.5632462094, -0.9411574716, 0.0000000000, 1.1145619208, -2.2607773654, 0.1682184356, 0.1714694000, 3.2069377467, 0.0000000000, 5.0000000000, 0.0194168308
           5, -5.6222539451, -1.6338221576, 0.0000000000, 0.0000000000, 0.0000000000, -2.4593132891, -0.5310276158, -5.8307052693, 0.0000000000, 3.4411664200, -2.2587288363, 0.1482072242, 0.1545883953, 3.2118995151, 0.0000000000, 5.0000000000, 0.0228645387
           6, -7.0065853143, -1.6443945651, 0.0000000000, 0.0000000000, 0.0000000000, -2.3697089966, -0.2772629006, -7.1916198826, 0.0000000000, 4.2608905811, -2.2192219845, 0.1751567512, 0.1833526245, 3.2508670515, 0.0000000000, 5.0000000000, 0.0264636247
           7, -4.7973103469, -1.0255867250, 0.0000000000, 0.0000000000, 0.0000000000, -1.4339025233, -0.0913738404, -4.9048614166, 0.0000000000, 4.6776252364, -2.2053724650, 0.2189522348, 0.2201791670, 3.2629860564, 0.0000000000, 5.0000000000, 0.0300521271
           8, -1.9454567052, -0.3696501191, 0.0000000000, 0.0000000000, 0.0000000000, -0.3940877325, 0.0083520342, -1.9802457539, 0.0000000000, 5.2629678837, -2.1937971332, 0.2449642291, 0.2511010005, 3.2735289828, 0.0000000000, 5.0000000000, 0.0334784254
           9, 1.8934351605, 0.4037593919, 0.0000000000, 0.0000000000, 0.0000000000, 0.6968706876, 0.0350567339, 1.9356883476, 0.0000000000, 4.6895136029, -2.1855288831, 0.2298859593, 0.2498420972, 3.2804507406, 0.0000000000, 5.0000000000, 0.0368515632
