"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.9744339000, 1.1422885961, 0.0000000000, 0.0000000000, 0.0000000000, 0.4146960418, 0.3981039991, 2.2460466754, 0.0000000000, 1.7284895487, -4.3496315845, -5.6593218097, -6.0982559415, -3.8053947878, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.7460157275, 0.1642273725, 0.0000000000, 0.0000000000, 0.0000000000, -0.0506332267, -0.1008291559, 0.7571945436, 0.0000000000, 4.5425784751, -4.2812972144, -4.6796881712, -4.4705708959, -3.7312995077, 0.0000000000, 5.0000000000, 5.0000000000, 0.0085666667
           2, 1.0590251248, 0.3333285929, 0.0000000000, 0.0000000000, 0.0000000000, 0.0328388468, -0.0489815059, 1.1091631882, 0.0000000000, 3.1771205571, -4.7004351015, -4.9908351613, -4.7465207353, -4.1504182728, 0.0000000000, 5.0000000000, 5.0000000000, 0.0124666667
           3, 0.8915725495, 0.2088120251, 0.0000000000, 0.0000000000, 0.0000000000, -0.0479228413, -0.1087166521, 0.9092220644, 0.0000000000, 4.2697375743, -5.0766822131, -5.2160324104, -5.0875132893, -4.5377947634, 0.0000000000, 5.0000000000, 5.0000000000, 0.0166333333
           4, 1.0061596290, 0.2436131648, 0.0000000000, 0.0000000000, 0.0000000000, -0.0102584911, -0.1152053672, 1.0288013882, 0.0000000000, 4.1301529411, -5.4398490166, -5.4151162843, -5.3144139256, -4.9065750319, 0.0000000000, 5.0000000000, 5.0000000000, 0.0205333333
           5, 1.0837973803, 0.2565865432, 0.0000000000, 0.0000000000, 0.0000000000, 0.0065164424, -0.1295680542, 1.1061941670, 0.0000000000, 4.2239057706, -5.6053732456, -5.5063290149, -5.4073310698, -5.0721173427, 0.0000000000, 5.0000000000, 5.0000000000, 0.0247000000
           6, 1.1913936642, 0.2830636770, 0.0000000000, 0.0000000000, 0.0000000000, 0.0325777669, -0.1414877833, 1.2163573141, 0.0000000000, 4.2089245674, -5.7526715426, -5.5518373958, -5.4428725442, -5.2231334143, 0.0000000000, 5.0000000000, 5.0000000000, 0.0288500000
           7, 1.2869584073, 0.3030716164, 0.0000000000, 0.0000000000, 0.0000000000, 0.0515496581, -0.1553715374, 1.3130019163, 0.0000000000, 4.2463838169, -5.8135711754, -5.5613555299, -5.4550826628, -5.2826758709, 0.0000000000, 5.0000000000, 5.0000000000, 0.0332666667
           8, 1.3769631163, 0.3197293264, 0.0000000000, 0.0000000000, 0.0000000000, 0.0679842517, -0.1705018337, 1.4032759495, 0.0000000000, 4.3066525419, -5.8456634155, -5.5628144153, -5.4656421569, -5.3134103100, 0.0000000000, 5.0000000000, 5.0000000000, 0.0374333333
           9, 1.4613151850, 0.3333576982, 0.0000000000, 0.0000000000, 0.0000000000, 0.0827585602, -0.1865454599, 1.4872021438, 0.0000000000, 4.3836251355, -5.8640904294, -5.5622521111, -5.4757952619, -5.3300746597, 0.0000000000, 5.0000000000, 5.0000000000, 0.0416000000
