"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.6435147896, 0.6276300695, 0.0000000000, 0.0000000000, 0.0000000000, 0.2607611583, 0.5445270853, 0.7152069924, 0.0000000000, 1.0253090489, -4.6317563082, -5.9176816400, -6.8285378785, -4.0875195115, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041500000
           1, 0.3758839762, 0.0123197207, 0.0000000000, 0.0000000000, 0.0000000000, 0.0139895039, -0.0335808420, 0.3745835903, 0.0000000000, 30.5107546818, -4.5878702874, -4.9865935245, -4.8059285966, -4.0377650606, 0.0000000000, 5.0000000000, 5.0000000000, 0.0091000000
           2, 0.5248789610, 0.0953217905, 0.0000000000, 0.0000000000, 0.0000000000, 0.0566807831, 0.0306446220, 0.5325833968, 0.0000000000, 5.5063900747, -5.0074367965, -5.2877907225, -5.0773393398, -4.4570068084, 0.0000000000, 5.0000000000, 5.0000000000, 0.0132500000
           3, 0.4654027969, 0.0426326130, 0.0000000000, 0.0000000000, 0.0000000000, 0.0147930646, -0.0144034973, 0.4671293636, 0.0000000000, 10.9165909503, -5.4038818276, -5.5384763304, -5.4356456669, -4.8650254275, 0.0000000000, 5.0000000000, 5.0000000000, 0.0174166667
           4, 0.5153040143, 0.0483592004, 0.0000000000, 0.0000000000, 0.0000000000, 0.0329595251, -0.0148010236, 0.5173565203, 0.0000000000, 10.6557596021, -5.7696998254, -5.7600046415, -5.6779448306, -5.2327965051, 0.0000000000, 5.0000000000, 5.0000000000, 0.0215666667
           5, 0.5530154076, 0.0484835857, 0.0000000000, 0.0000000000, 0.0000000000, 0.0408003406, -0.0192734283, 0.5548019773, 0.0000000000, 11.4062398656, -5.9510516183, -5.8633491494, -5.7783496436, -5.4167673994, 0.0000000000, 5.0000000000, 5.0000000000, 0.0257333333
           6, 0.6022679426, 0.0527764510, 0.0000000000, 0.0000000000, 0.0000000000, 0.0539183283, -0.0210149354, 0.6042105601, 0.0000000000, 11.4116794698, -6.1129314567, -5.9117194653, -5.8162995083, -5.5831344975, 0.0000000000, 5.0000000000, 5.0000000000, 0.0299000000
           7, 0.6455799142, 0.0556316300, 0.0000000000, 0.0000000000, 0.0000000000, 0.0630666366, -0.0234594400, 0.6475476497, 0.0000000000, 11.6045478898, -6.1740767366, -5.9184573747, -5.8259194550, -5.6432906603, 0.0000000000, 5.0000000000, 5.0000000000, 0.0340500000
           8, 0.6860380317, 0.0579499027, 0.0000000000, 0.0000000000, 0.0000000000, 0.0706584062, -0.0260890516, 0.6879867249, 0.0000000000, 11.8384673625, -6.2032493948, -5.9159597431, -5.8321587628, -5.6715199963, 0.0000000000, 5.0000000000, 5.0000000000, 0.0384666667
           9, 0.7245381475, 0.0598684363, 0.0000000000, 0.0000000000, 0.0000000000, 0.0773491014, -0.0288768022, 0.7264336771, 0.0000000000, 12.1021725605, -6.2184635418, -5.9117764279, -5.8379445154, -5.6851285888, 0.0000000000, 5.0000000000, 5.0000000000, 0.0426333333
          10, 0.7615442888, 0.0615556479, 0.0000000000, 0.0000000000, 0.0000000000, 0.0836114630, -0.0317120810, 0.7633695995, 0.0000000000, 12.3716395531, -6.2313238743, -5.9084354866, -5.8445164210, -5.6968941716, 0.0000000000, 5.0000000000, 5.0000000000, 0.0468000000
          11, 0.7962891413, 0.0628293260, 0.0000000000, 0.0000000000, 0.0000000000, 0.0890589410, -0.0346822290, 0.7980106915, 0.0000000000, 12.6738450256, -6.2444200626, -5.9064672098, -5.8523308639, -5.7093608350, 0.0000000000, 5.0000000000, 5.0000000000, 0.0509500000
          12, 0.8280601871, 0.0635166107, 0.0000000000, 0.0000000000, 0.0000000000, 0.0933332977, -0.0378719838, 0.8296286797, 0.0000000000, 13.0369076446, -6.2577511702, -5.9059800013, -5.8612724897, -5.7223741906, 0.0000000000, 5.0000000000, 5.0000000000, 0.0551166667
          13, 0.8565720451, 0.0635527906, 0.0000000000, 0.0000000000, 0.0000000000, 0.0963451627, -0.0413107950, 0.8579324238, 0.0000000000, 13.4781185366, -6.2711981701, -5.9069772443, -5.8708881763, -5.7357406240, 0.0000000000, 5.0000000000, 5.0000000000, 0.0595333333
          14, 0.8819428359, 0.0629934146, 0.0000000000, 0.0000000000, 0.0000000000, 0.0982475739, -0.0449579231, 0.8830459338, 0.0000000000, 14.0005561225, -6.2843214268, -5.9093537633, -5.8806516926, -5.7489808100, 0.0000000000, 5.0000000000, 5.0000000000, 0.0634333333
