"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -0.0134249509, 0.5967926644, 0.0000000000, 0.0000000000, 0.0000000000, 0.1917105859, 0.5969360677, -0.0030074381, 0.0000000000, -0.0224951675, -4.7408851782, -6.0236273700, -7.7817059014, -4.1966483815, 0.0000000000, 5.0000000000, 5.0000000000, 0.0046833333
           1, 0.1788892567, -0.0084649803, 0.0000000000, 0.0000000000, 0.0000000000, 0.0475934962, -0.0115857390, 0.1787142767, 0.0000000000, -21.1328616186, -4.7185230066, -5.1152603615, -4.9724504131, -4.1678324373, 0.0000000000, 5.0000000000, 5.0000000000, 0.0096166667
           2, 0.2372483582, 0.0588434101, 0.0000000000, 0.0000000000, 0.0000000000, 0.0694612184, 0.0546938932, 0.2382391833, 0.0000000000, 4.0318594335, -5.1379389998, -5.4017741213, -5.2395006450, -4.5872914517, 0.0000000000, 5.0000000000, 5.0000000000, 0.0132666667
           3, 0.2306214268, 0.0188474360, 0.0000000000, 0.0000000000, 0.0000000000, 0.0454212516, 0.0148196666, 0.2309152352, 0.0000000000, 12.2362228286, -5.5604061952, -5.7032388876, -5.6365486706, -5.0228529597, 0.0000000000, 5.0000000000, 5.0000000000, 0.0184666667
           4, 0.2426488508, 0.0187600300, 0.0000000000, 0.0000000000, 0.0000000000, 0.0535681843, 0.0145223664, 0.2429393019, 0.0000000000, 12.9343529985, -5.9359244318, -5.9818662860, -5.9327049781, -5.3940352201, 0.0000000000, 5.0000000000, 5.0000000000, 0.0226166667
           5, 0.2559673882, 0.0161996176, 0.0000000000, 0.0000000000, 0.0000000000, 0.0566776655, 0.0117299034, 0.2562111255, 0.0000000000, 15.8008290607, -6.1660697473, -6.1399954025, -6.1006612901, -5.6295731237, 0.0000000000, 5.0000000000, 5.0000000000, 0.0265166667
           6, 0.2713032731, 0.0162599495, 0.0000000000, 0.0000000000, 0.0000000000, 0.0633186762, 0.0115225780, 0.2715457276, 0.0000000000, 16.6853699977, -6.3950790998, -6.2329488234, -6.1905040108, -5.8680406676, 0.0000000000, 5.0000000000, 5.0000000000, 0.0306833333
           7, 0.2841556269, 0.0159567387, 0.0000000000, 0.0000000000, 0.0000000000, 0.0677171954, 0.0109951089, 0.2843908321, 0.0000000000, 17.8078762206, -6.4991557070, -6.2550543411, -6.2102968023, -5.9750114337, 0.0000000000, 5.0000000000, 5.0000000000, 0.0348333333
           8, 0.2958242278, 0.0157527953, 0.0000000000, 0.0000000000, 0.0000000000, 0.0712288966, 0.0105875514, 0.2960540965, 0.0000000000, 18.7791577866, -6.5434241616, -6.2573423810, -6.2111117107, -6.0193039023, 0.0000000000, 5.0000000000, 5.0000000000, 0.0390000000
           9, 0.3075873112, 0.0155610737, 0.0000000000, 0.0000000000, 0.0000000000, 0.0743762041, 0.0101905649, 0.3078120424, 0.0000000000, 19.7664581297, -6.5594209090, -6.2541164175, -6.2072302861, -6.0328717670, 0.0000000000, 5.0000000000, 5.0000000000, 0.0431666667
