"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.5900725861, 0.9212006291, 0.0000000000, 0.0000000000, 0.0000000000, 0.3660067472, 0.4472314758, 1.7823931764, 0.0000000000, 1.7260871692, -4.4242028136, -5.7240372183, -6.2665407802, -3.8799660169, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041500000
           1, 0.6451501785, 0.1038657726, 0.0000000000, 0.0000000000, 0.0000000000, -0.0326592780, -0.0779853006, 0.6487874417, 0.0000000000, 6.2113838144, -4.3594624934, -4.7583357827, -4.5524538731, -3.8094706223, 0.0000000000, 5.0000000000, 5.0000000000, 0.0096166667
           2, 0.9136863368, 0.2398199600, 0.0000000000, 0.0000000000, 0.0000000000, 0.0389572217, -0.0213163445, 0.9443950173, 0.0000000000, 3.8098844523, -4.7790551137, -5.0680751470, -4.8279420339, -4.2289748404, 0.0000000000, 5.0000000000, 5.0000000000, 0.0137666667
           3, 0.7775253591, 0.1436249522, 0.0000000000, 0.0000000000, 0.0000000000, -0.0299886038, -0.0762538690, 0.7869937474, 0.0000000000, 5.4135813271, -5.1577410828, -5.2951453543, -5.1698931064, -4.6188116493, 0.0000000000, 5.0000000000, 5.0000000000, 0.0179333333
           4, 0.8758469449, 0.1676957908, 0.0000000000, 0.0000000000, 0.0000000000, 0.0021076130, -0.0802165957, 0.8881413440, 0.0000000000, 5.2228320130, -5.5206220900, -5.4961889461, -5.3970794564, -4.9869227106, 0.0000000000, 5.0000000000, 5.0000000000, 0.0221000000
           5, 0.9437816545, 0.1760796317, 0.0000000000, 0.0000000000, 0.0000000000, 0.0163325405, -0.0908828743, 0.9557552779, 0.0000000000, 5.3599706301, -5.6865482716, -5.5876398865, -5.4886585893, -5.1531566069, 0.0000000000, 5.0000000000, 5.0000000000, 0.0262500000
           6, 1.0365117898, 0.1942440330, 0.0000000000, 0.0000000000, 0.0000000000, 0.0385651640, -0.0989820204, 1.0498999926, 0.0000000000, 5.3361319452, -5.8335388824, -5.6323213237, -5.5234628258, -5.3038309515, 0.0000000000, 5.0000000000, 5.0000000000, 0.0301500000
           7, 1.1188244315, 0.2077959031, 0.0000000000, 0.0000000000, 0.0000000000, 0.0545459142, -0.1086435657, 1.1327593838, 0.0000000000, 5.3842468244, -5.8931505866, -5.6407184205, -5.5351698741, -5.3620962884, 0.0000000000, 5.0000000000, 5.0000000000, 0.0345666667
           8, 1.1962348251, 0.2189961547, 0.0000000000, 0.0000000000, 0.0000000000, 0.0681960140, -0.1192143890, 1.2102582377, 0.0000000000, 5.4623553850, -5.9244727523, -5.6410592552, -5.5452694464, -5.3921407792, 0.0000000000, 5.0000000000, 5.0000000000, 0.0387333333
           9, 1.2689767739, 0.2281569112, 0.0000000000, 0.0000000000, 0.0000000000, 0.0803359068, -0.1304589031, 1.2827073335, 0.0000000000, 5.5618598936, -5.9425468622, -5.6395434293, -5.5551162684, -5.4085058042, 0.0000000000, 5.0000000000, 5.0000000000, 0.0426333333
          10, 1.3376445704, 0.2356742330, 0.0000000000, 0.0000000000, 0.0000000000, 0.0915317009, -0.1421601995, 1.3507871107, 0.0000000000, 5.6758201929, -5.9569627007, -5.6385229821, -5.5653770986, -5.4217574387, 0.0000000000, 5.0000000000, 5.0000000000, 0.0468000000
          11, 1.4009524078, 0.2411180611, 0.0000000000, 0.0000000000, 0.0000000000, 0.1011615890, -0.1543772609, 1.4131430323, 0.0000000000, 5.8102342113, -5.9707755371, -5.6384776951, -5.5762498195, -5.4349173883, 0.0000000000, 5.0000000000, 5.0000000000, 0.0509500000
          12, 1.4579311001, 0.2441472831, 0.0000000000, 0.0000000000, 0.0000000000, 0.1087277819, -0.1671708420, 1.4687494334, 0.0000000000, 5.9715229339, -5.9842977449, -5.6395359741, -5.5874719563, -5.4481178795, 0.0000000000, 5.0000000000, 5.0000000000, 0.0551166667
          13, 1.5082246909, 0.2446979074, 0.0000000000, 0.0000000000, 0.0000000000, 0.1141589648, -0.1805043403, 1.5172465084, 0.0000000000, 6.1636190801, -5.9974142122, -5.6417088483, -5.5985071299, -5.4611407982, 0.0000000000, 5.0000000000, 5.0000000000, 0.0592666667
          14, 1.5521619490, 0.2430129889, 0.0000000000, 0.0000000000, 0.0000000000, 0.1177261114, -0.1942347375, 1.5590172852, 0.0000000000, 6.3871563233, -6.0098351419, -5.6449053209, -5.6088163453, -5.4736448654, 0.0000000000, 5.0000000000, 5.0000000000, 0.0631666667
          15, 1.5901970951, 0.2394070411, 0.0000000000, 0.0000000000, 0.0000000000, 0.1197660346, -0.2081849042, 1.5945850803, 0.0000000000, 6.6422319409, -6.0212450333, -5.6489495740, -5.6179559356, -5.4852754016, 0.0000000000, 5.0000000000, 5.0000000000, 0.0676000000
          16, 1.6227351659, 0.2341508455, 0.0000000000, 0.0000000000, 0.0000000000, 0.1205485520, -0.2222061915, 1.6244138776, 0.0000000000, 6.9302981270, -6.0313352898, -5.6536077068, -5.6255983830, -5.4956895582, 0.0000000000, 5.0000000000, 5.0000000000, 0.0717500000
          17, 1.6502178307, 0.2275104912, 0.0000000000, 0.0000000000, 0.0000000000, 0.1202307537, -0.2361645588, 1.6490015808, 0.0000000000, 7.2533702610, -6.0398420977, -5.6586230711, -5.6315483052, -5.5045910938, 0.0000000000, 5.0000000000, 5.0000000000, 0.0759166667
          18, 1.6729845311, 0.2197081210, 0.0000000000, 0.0000000000, 0.0000000000, 0.1189750656, -0.2499400314, 1.6687357132, 0.0000000000, 7.6145775736, -6.0466469574, -5.6637366675, -5.6357473526, -5.5118305311, 0.0000000000, 5.0000000000, 5.0000000000, 0.0800666667
          19, 1.6915434125, 0.2110158438, 0.0000000000, 0.0000000000, 0.0000000000, 0.1169429237, -0.2634111056, 1.6841797387, 0.0000000000, 8.0161914958, -6.0517032651, -5.6687054152, -5.6382744210, -5.5173239231, 0.0000000000, 5.0000000000, 5.0000000000, 0.0842333333
          20, 1.7063403725, 0.2016655327, 0.0000000000, 0.0000000000, 0.0000000000, 0.1143326072, -0.2764777964, 1.6958261945, 0.0000000000, 8.4612395066, -6.0551397877, -5.6733213778, -5.6393256980, -5.5211672829, 0.0000000000, 5.0000000000, 5.0000000000, 0.0881333333
          21, 1.7178967179, 0.1919138329, 0.0000000000, 0.0000000000, 0.0000000000, 0.1113242902, -0.2890370924, 1.7042469339, 0.0000000000, 8.9513960075, -6.0571940467, -5.6774225767, -5.6391752245, -5.5235686598, 0.0000000000, 5.0000000000, 5.0000000000, 0.0923000000
          22, 1.7267375655, 0.1819945380, 0.0000000000, 0.0000000000, 0.0000000000, 0.1080704842, -0.3010089985, 1.7100111739, 0.0000000000, 9.4878537814, -6.0581838694, -5.6809058444, -5.6381328138, -5.5248257020, 0.0000000000, 5.0000000000, 5.0000000000, 0.0964500000
          23, 1.7333379095, 0.1721068890, 0.0000000000, 0.0000000000, 0.0000000000, 0.1047007437, -0.3123329181, 1.7136304263, 0.0000000000, 10.0712872072, -6.0584610553, -5.6837362867, -5.6365097707, -5.5252801400, 0.0000000000, 5.0000000000, 5.0000000000, 0.1006166667
          24, 1.7381309483, 0.1624202205, 0.0000000000, 0.0000000000, 0.0000000000, 0.1013295655, -0.3229654821, 1.7155677832, 0.0000000000, 10.7014443348, -6.0583880032, -5.6859421426, -5.6345844642, -5.5252923616, 0.0000000000, 5.0000000000, 5.0000000000, 0.1047666667
          25, 1.7415206992, 0.1530703579, 0.0000000000, 0.0000000000, 0.0000000000, 0.0980472850, -0.3328874888, 1.7162490496, 0.0000000000, 11.3772563384, -6.0582728570, -5.6876062082, -5.6325860800, -5.5251744704, 0.0000000000, 5.0000000000, 5.0000000000, 0.1089333333
          26, 1.7438792043, 0.1441793768, 0.0000000000, 0.0000000000, 0.0000000000, 0.0949292699, -0.3420841404, 1.7160655036, 0.0000000000, 12.0952055866, -6.0584049634, -5.6888531494, -5.6306871387, -5.5252263336, 0.0000000000, 5.0000000000, 5.0000000000, 0.1131000000
          27, 1.7455427100, 0.1358382809, 0.0000000000, 0.0000000000, 0.0000000000, 0.0920278857, -0.3505606407, 1.7153654503, 0.0000000000, 12.8501531226, -6.0589790650, -5.6898321846, -5.6290074332, -5.5256564078, 0.0000000000, 5.0000000000, 5.0000000000, 0.1170000000
          28, 1.7467898029, 0.1281093636, 0.0000000000, 0.0000000000, 0.0000000000, 0.0893818468, -0.3583338983, 1.7144338546, 0.0000000000, 13.6351454231, -6.0601566718, -5.6907037795, -5.6276167087, -5.5266426452, 0.0000000000, 5.0000000000, 5.0000000000, 0.1216666667
          29, 1.7478527897, 0.1210300340, 0.0000000000, 0.0000000000, 0.0000000000, 0.0870131433, -0.3654319856, 1.7135043355, 0.0000000000, 14.4414797927, -6.0620171672, -5.6916242182, -5.6265457986, -5.5282810998, 0.0000000000, 5.0000000000, 5.0000000000, 0.1255666667
          30, 1.7489210644, 0.1146162096, 0.0000000000, 0.0000000000, 0.0000000000, 0.0849288135, -0.3718918057, 1.7127633374, 0.0000000000, 15.2589330088, -6.0645930311, -5.6927351205, -5.6257956986, -5.5306216271, 0.0000000000, 5.0000000000, 5.0000000000, 0.1297333333
          31, 1.7501366397, 0.1088629405, 0.0000000000, 0.0000000000, 0.0000000000, 0.0831250609, -0.3777572609, 1.7123460075, 0.0000000000, 16.0765144870, -6.0678635724, -5.6941553156, -5.6253486026, -5.5336598707, 0.0000000000, 5.0000000000, 5.0000000000, 0.1339000000
          32, 1.7516074039, 0.1037496209, 0.0000000000, 0.0000000000, 0.0000000000, 0.0815873301, -0.3830778967, 1.7123503749, 0.0000000000, 16.8830246173, -6.0717667272, -5.6959765092, -5.6251770441, -5.5373488259, 0.0000000000, 5.0000000000, 5.0000000000, 0.1383166667
          33, 1.7534027896, 0.0992437861, 0.0000000000, 0.0000000000, 0.0000000000, 0.0802941597, -0.3879040585, 1.7128342339, 0.0000000000, 17.6676330011, -6.0762189236, -5.6982620101, -5.6252521620, -5.5416181690, 0.0000000000, 5.0000000000, 5.0000000000, 0.1424666667
          34, 1.7555601223, 0.0952982622, 0.0000000000, 0.0000000000, 0.0000000000, 0.0792203210, -0.3922913810, 1.7138204615, 0.0000000000, 18.4217432928, -6.0811143642, -5.7010462035, -5.6255502948, -5.5463723812, 0.0000000000, 5.0000000000, 5.0000000000, 0.1463666667
          35, 1.7580919917, 0.0918624997, 0.0000000000, 0.0000000000, 0.0000000000, 0.0783358437, -0.3962919256, 1.7153072260, 0.0000000000, 19.1382990687, -6.0863348565, -5.7043357360, -5.6260562397, -5.5514994647, 0.0000000000, 5.0000000000, 5.0000000000, 0.1505333333
          36, 1.7609877561, 0.0888797105, 0.0000000000, 0.0000000000, 0.0000000000, 0.0776098633, -0.3999573474, 1.7172686453, 0.0000000000, 19.8131580902, -6.0917618964, -5.7081114626, -5.6267653243, -5.5568834644, 0.0000000000, 5.0000000000, 5.0000000000, 0.1549500000
          37, 1.7642198138, 0.0862903215, 0.0000000000, 0.0000000000, 0.0000000000, 0.0770127138, -0.4033373038, 1.7196617662, 0.0000000000, 20.4451644645, -6.0972809343, -5.7123324519, -5.6276828824, -5.5624079211, 0.0000000000, 5.0000000000, 5.0000000000, 0.1591166667
          38, 1.7677508740, 0.0840358167, 0.0000000000, 0.0000000000, 0.0000000000, 0.0765159237, -0.4064777650, 1.7224346135, 0.0000000000, 21.0356838737, -6.1027859884, -5.7169391512, -5.6288221023, -5.5679606902, 0.0000000000, 5.0000000000, 5.0000000000, 0.1632666667
          39, 1.7715348551, 0.0820591293, 0.0000000000, 0.0000000000, 0.0000000000, 0.0760942714, -0.4094208855, 1.7255271607, 0.0000000000, 21.5885163701, -6.1081864825, -5.7218576960, -5.6302008326, -5.5734414398, 0.0000000000, 5.0000000000, 5.0000000000, 0.1674333333
