"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.0742748529, 0.7220573698, 0.0000000000, 0.0000000000, 0.0000000000, 0.3070124674, 0.5038098368, 1.1923124395, 0.0000000000, 1.4877970890, -4.5341261592, -5.8248556244, -6.5362033559, -3.9898893625, 0.0000000000, 5.0000000000, 5.0000000000, 0.0046833333
           1, 0.5003485547, 0.0444357068, 0.0000000000, 0.0000000000, 0.0000000000, -0.0078110258, -0.0518517073, 0.4996344751, 0.0000000000, 11.2600561704, -4.4778246696, -4.8770718337, -4.6802705027, -3.9278165648, 0.0000000000, 5.0000000000, 5.0000000000, 0.0093666667
           2, 0.7058213851, 0.1469856845, 0.0000000000, 0.0000000000, 0.0000000000, 0.0481713550, 0.0096080740, 0.7208996491, 0.0000000000, 4.8019736597, -4.8977867235, -5.1833804010, -4.9542699960, -4.3475596824, 0.0000000000, 5.0000000000, 5.0000000000, 0.0135166667
           3, 0.6120883183, 0.0786620730, 0.0000000000, 0.0000000000, 0.0000000000, -0.0055962992, -0.0395751279, 0.6158519630, 0.0000000000, 7.7812380856, -5.2829207459, -5.4183036429, -5.3013195667, -4.7439569416, 0.0000000000, 5.0000000000, 5.0000000000, 0.0176833333
           4, 0.6852349173, 0.0913140784, 0.0000000000, 0.0000000000, 0.0000000000, 0.0189797946, -0.0411126046, 0.6900687694, 0.0000000000, 7.5041541199, -5.6463916739, -5.6258281123, -5.5324601850, -5.1115409735, 0.0000000000, 5.0000000000, 5.0000000000, 0.0218333333
           5, 0.7376111744, 0.0946065459, 0.0000000000, 0.0000000000, 0.0000000000, 0.0297667783, -0.0478744900, 0.7421109596, 0.0000000000, 7.7966187991, -5.8166293019, -5.7200643224, -5.6249070210, -5.2829296313, 0.0000000000, 5.0000000000, 5.0000000000, 0.0260000000
           6, 0.8076234386, 0.1040805555, 0.0000000000, 0.0000000000, 0.0000000000, 0.0470158628, -0.0519335144, 0.8126446275, 0.0000000000, 7.7595996144, -5.9670782096, -5.7648612554, -5.6596537348, -5.4372275178, 0.0000000000, 5.0000000000, 5.0000000000, 0.0301666667
           7, 0.8695883753, 0.1109129430, 0.0000000000, 0.0000000000, 0.0000000000, 0.0592232066, -0.0570501244, 0.8747747748, 0.0000000000, 7.8402786162, -6.0259085949, -5.7719601498, -5.6703034531, -5.4947956079, 0.0000000000, 5.0000000000, 5.0000000000, 0.0340666667
           8, 0.9277113979, 0.1165059756, 0.0000000000, 0.0000000000, 0.0000000000, 0.0694876489, -0.0626502472, 0.9328971148, 0.0000000000, 7.9627795341, -6.0559343346, -5.7707534983, -5.6789708994, -5.5236783928, 0.0000000000, 5.0000000000, 5.0000000000, 0.0384833333
           9, 0.9825978694, 0.1210989647, 0.0000000000, 0.0000000000, 0.0000000000, 0.0785427819, -0.0686144766, 0.9876515508, 0.0000000000, 8.1140071797, -6.0728978452, -5.7678823530, -5.6874286005, -5.5389994679, 0.0000000000, 5.0000000000, 5.0000000000, 0.0423833333
