"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.3876441601, 0.8309414807, 0.0000000000, 0.0000000000, 0.0000000000, 0.3421913907, 0.4705574619, 1.5474481362, 0.0000000000, 1.6699661677, -4.4659408869, -5.7617128101, -6.3649417518, -3.9217040902, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041666667
           1, 0.5895074285, 0.0777672871, 0.0000000000, 0.0000000000, 0.0000000000, -0.0229708952, -0.0671574882, 0.5908101480, 0.0000000000, 7.5804036649, -4.4038815552, -4.8028555947, -4.5997201871, -3.8538889714, 0.0000000000, 5.0000000000, 5.0000000000, 0.0096166667
           2, 0.8341214631, 0.1993078001, 0.0000000000, 0.0000000000, 0.0000000000, 0.0425905478, -0.0084047389, 0.8575614116, 0.0000000000, 4.1850919165, -4.8236210066, -5.1116726126, -4.8747173651, -4.2734881021, 0.0000000000, 5.0000000000, 5.0000000000, 0.0137833333
           3, 0.7142668503, 0.1152583042, 0.0000000000, 0.0000000000, 0.0000000000, -0.0203971564, -0.0609621504, 0.7209335797, 0.0000000000, 6.1970966475, -5.2042096230, -5.3409976801, -5.2179737740, -4.6652332185, 0.0000000000, 5.0000000000, 5.0000000000, 0.0179333333
           4, 0.8028950424, 0.1343767810, 0.0000000000, 0.0000000000, 0.0000000000, 0.0086975362, -0.0638526743, 0.8115543139, 0.0000000000, 5.9749536807, -5.5670760428, -5.5432610672, -5.4458688341, -5.0330076474, 0.0000000000, 5.0000000000, 5.0000000000, 0.0221000000
           5, 0.8650728660, 0.1406132660, 0.0000000000, 0.0000000000, 0.0000000000, 0.0215924631, -0.0728436165, 0.8733939327, 0.0000000000, 6.1521426163, -5.7339749542, -5.6356702643, -5.5375298802, -5.2004921721, 0.0000000000, 5.0000000000, 5.0000000000, 0.0262666667
           6, 0.9492237718, 0.1550493897, 0.0000000000, 0.0000000000, 0.0000000000, 0.0418592818, -0.0791942541, 0.9585376114, 0.0000000000, 6.1220735777, -5.8816440671, -5.6802047597, -5.5721006704, -5.3518778297, 0.0000000000, 5.0000000000, 5.0000000000, 0.0304166667
           7, 1.0238574434, 0.1657081975, 0.0000000000, 0.0000000000, 0.0000000000, 0.0563364571, -0.0869075777, 1.0335329429, 0.0000000000, 6.1786770908, -5.9408505598, -5.6880349005, -5.5834565560, -5.4097496519, 0.0000000000, 5.0000000000, 5.0000000000, 0.0343166667
           8, 1.0939938647, 0.1744861140, 0.0000000000, 0.0000000000, 0.0000000000, 0.0686227093, -0.0953579388, 1.1037095829, 0.0000000000, 6.2698047387, -5.9716697370, -5.6877708338, -5.5931236780, -5.4393401311, 0.0000000000, 5.0000000000, 5.0000000000, 0.0384833333
           9, 1.1600060733, 0.1816655768, 0.0000000000, 0.0000000000, 0.0000000000, 0.0795073952, -0.1043615353, 1.1694978161, 0.0000000000, 6.3853928380, -5.9894305062, -5.6857442932, -5.6025741310, -5.4554251520, 0.0000000000, 5.0000000000, 5.0000000000, 0.0426333333
