"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.7858962079, 1.0250945922, 0.0000000000, 0.0000000000, 0.0000000000, 0.3901336025, 0.4230506133, 2.0152598758, 0.0000000000, 1.7421769869, -4.3854843810, -5.6899540971, -6.1781780586, -3.8412475843, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041666667
           1, 0.6970434838, 0.1326554343, 0.0000000000, 0.0000000000, 0.0000000000, -0.0420020676, -0.0892354671, 0.7039205310, 0.0000000000, 5.2545414914, -4.3187085047, -4.7174090092, -4.5096213788, -3.7687142789, 0.0000000000, 5.0000000000, 5.0000000000, 0.0101500000
           2, 0.9888098406, 0.2845985489, 0.0000000000, 0.0000000000, 0.0000000000, 0.0356793469, -0.0348897405, 1.0283598305, 0.0000000000, 3.4744022568, -4.7381348163, -5.0278626057, -4.7853390250, -4.1880931149, 0.0000000000, 5.0000000000, 5.0000000000, 0.0140500000
           3, 0.8368378106, 0.1749526598, 0.0000000000, 0.0000000000, 0.0000000000, -0.0391645956, -0.0922072379, 0.8499433979, 0.0000000000, 4.7832242830, -5.1153468034, -5.2538338727, -5.1266819066, -4.5764379850, 0.0000000000, 5.0000000000, 5.0000000000, 0.0184666667
           4, 0.9437358033, 0.2042441717, 0.0000000000, 0.0000000000, 0.0000000000, -0.0042333413, -0.0973826510, 0.9606610054, 0.0000000000, 4.6206253790, -5.4783973123, -5.4535790309, -5.3535126566, -4.9449454219, 0.0000000000, 5.0000000000, 5.0000000000, 0.0223666667
           5, 1.0168488751, 0.2148854042, 0.0000000000, 0.0000000000, 0.0000000000, 0.0112884345, -0.1098554192, 1.0334839905, 0.0000000000, 4.7320518537, -5.6438927171, -5.5447528046, -5.4455877705, -5.1105709520, 0.0000000000, 5.0000000000, 5.0000000000, 0.0267833333
           6, 1.1174101294, 0.2370795847, 0.0000000000, 0.0000000000, 0.0000000000, 0.0354529415, -0.1198226357, 1.1359818056, 0.0000000000, 4.7132279676, -5.7908134180, -5.5898210229, -5.4807067598, -5.2611953247, 0.0000000000, 5.0000000000, 5.0000000000, 0.0309500000
           7, 1.2067154694, 0.2537636165, 0.0000000000, 0.0000000000, 0.0000000000, 0.0529307181, -0.1315520464, 1.2260718805, 0.0000000000, 4.7552737709, -5.8510378740, -5.5987743086, -5.4926870640, -5.3200696518, 0.0000000000, 5.0000000000, 5.0000000000, 0.0351000000
           8, 1.2907601103, 0.2675998420, 0.0000000000, 0.0000000000, 0.0000000000, 0.0679632107, -0.1443642363, 1.3102787127, 0.0000000000, 4.8234711228, -5.8827604544, -5.5996811392, -5.5030763890, -5.3504686498, 0.0000000000, 5.0000000000, 5.0000000000, 0.0392666667
           9, 1.3696267060, 0.2789088164, 0.0000000000, 0.0000000000, 0.0000000000, 0.0814001596, -0.1579798808, 1.3887799678, 0.0000000000, 4.9106612099, -5.9010573087, -5.5986514711, -5.5131454941, -5.3670262933, 0.0000000000, 5.0000000000, 5.0000000000, 0.0434166667
          10, 1.4439384400, 0.2881679172, 0.0000000000, 0.0000000000, 0.0000000000, 0.0938175267, -0.1721375414, 1.4623158461, 0.0000000000, 5.0107536404, -5.9153911185, -5.5980245675, -5.5235383074, -5.3801783284, 0.0000000000, 5.0000000000, 5.0000000000, 0.0475833333
          11, 1.5122860720, 0.2948624761, 0.0000000000, 0.0000000000, 0.0000000000, 0.1045458939, -0.1868912173, 1.5293870394, 0.0000000000, 5.1287844146, -5.9289359913, -5.5982744151, -5.5344281307, -5.3930651129, 0.0000000000, 5.0000000000, 5.0000000000, 0.0517500000
          12, 1.5736629996, 0.2986175442, 0.0000000000, 0.0000000000, 0.0000000000, 0.1130513446, -0.2022864490, 1.5889203462, 0.0000000000, 5.2698276781, -5.9420650840, -5.5995333327, -5.5455358872, -5.4058706502, 0.0000000000, 5.0000000000, 5.0000000000, 0.0559000000
          13, 1.6277223005, 0.2993938331, 0.0000000000, 0.0000000000, 0.0000000000, 0.1192560069, -0.2182533971, 1.6405736831, 0.0000000000, 5.4367262140, -5.9546739979, -5.6018149934, -5.5563257399, -5.4183805858, 0.0000000000, 5.0000000000, 5.0000000000, 0.0600666667
          14, 1.6747469643, 0.2974433729, 0.0000000000, 0.0000000000, 0.0000000000, 0.1234546842, -0.2346398152, 1.6846940707, 0.0000000000, 5.6304732821, -5.9665163036, -5.6050333679, -5.5662689752, -5.4302937157, 0.0000000000, 5.0000000000, 5.0000000000, 0.0642166667
          15, 1.7152392407, 0.2931453759, 0.0000000000, 0.0000000000, 0.0000000000, 0.1260113208, -0.2512402549, 1.7218763599, 0.0000000000, 5.8511557132, -5.9773352221, -5.6090246959, -5.5749394699, -5.4413109063, 0.0000000000, 5.0000000000, 5.0000000000, 0.0683833333
          16, 1.7497666632, 0.2868973863, 0.0000000000, 0.0000000000, 0.0000000000, 0.1271827139, -0.2678520064, 1.7527831551, 0.0000000000, 6.0989285604, -5.9868918394, -5.6135773171, -5.5820432626, -5.4511598902, 0.0000000000, 5.0000000000, 5.0000000000, 0.0725500000
          17, 1.7786302232, 0.2789483095, 0.0000000000, 0.0000000000, 0.0000000000, 0.1271630944, -0.2843313583, 1.7777776321, 0.0000000000, 6.3762000443, -5.9949927593, -5.6184597205, -5.5874213211, -5.4596189679, 0.0000000000, 5.0000000000, 5.0000000000, 0.0767000000
          18, 1.8022858726, 0.2696005475, 0.0000000000, 0.0000000000, 0.0000000000, 0.1261044869, -0.3005316058, 1.7973868742, 0.0000000000, 6.6850230422, -6.0015135716, -5.6234354098, -5.5910470730, -5.4665330716, 0.0000000000, 5.0000000000, 5.0000000000, 0.0808666667
          19, 1.8212482028, 0.2591670362, 0.0000000000, 0.0000000000, 0.0000000000, 0.1241803105, -0.3163141470, 1.8121969897, 0.0000000000, 7.0273142348, -6.0064522759, -5.6282822625, -5.5930286327, -5.4718706538, 0.0000000000, 5.0000000000, 5.0000000000, 0.0850166667
          20, 1.8360613683, 0.2479552393, 0.0000000000, 0.0000000000, 0.0000000000, 0.1215905753, -0.3315547194, 1.8228205114, 0.0000000000, 7.4048097289, -6.0099330434, -5.6328100472, -5.5935874993, -5.4757276547, 0.0000000000, 5.0000000000, 5.0000000000, 0.0889166667
          21, 1.8472643467, 0.2362537697, 0.0000000000, 0.0000000000, 0.0000000000, 0.1185292900, -0.3461453891, 1.8298592241, 0.0000000000, 7.8189835844, -6.0121480569, -5.6368713884, -5.5930148089, -5.4782703256, 0.0000000000, 5.0000000000, 5.0000000000, 0.0930833333
          22, 1.8554405499, 0.2243480827, 0.0000000000, 0.0000000000, 0.0000000000, 0.1151541293, -0.3599949560, 1.8339561958, 0.0000000000, 8.2703650852, -6.0133728796, -5.6403698997, -5.5916242959, -5.4797560383, 0.0000000000, 5.0000000000, 5.0000000000, 0.0972500000
          23, 1.8610747260, 0.2124695091, 0.0000000000, 0.0000000000, 0.0000000000, 0.1116049983, -0.3730332070, 1.8356439346, 0.0000000000, 8.7592555478, -6.0138990046, -5.6432670631, -5.5897225762, -5.4804646147, 0.0000000000, 5.0000000000, 5.0000000000, 0.1014000000
          24, 1.8646587100, 0.2008261169, 0.0000000000, 0.0000000000, 0.0000000000, 0.1080009265, -0.3852142430, 1.8354544998, 0.0000000000, 9.2849413166, -6.0140724459, -5.6455787583, -5.5875768096, -5.4807384525, 0.0000000000, 5.0000000000, 5.0000000000, 0.1055666667
          25, 1.8666238039, 0.1895790098, 0.0000000000, 0.0000000000, 0.0000000000, 0.1044400259, -0.3965181249, 1.8338478680, 0.0000000000, 9.8461523036, -6.0141382126, -5.6473682221, -5.5854055469, -5.4808216112, 0.0000000000, 5.0000000000, 5.0000000000, 0.1097166667
          26, 1.8674036502, 0.1788745025, 0.0000000000, 0.0000000000, 0.0000000000, 0.1010004333, -0.4069397021, 1.8312816712, 0.0000000000, 10.4397419678, -6.0143426981, -5.6487382779, -5.5833705804, -5.4809666218, 0.0000000000, 5.0000000000, 5.0000000000, 0.1141500000
          27, 1.8673528921, 0.1688199828, 0.0000000000, 0.0000000000, 0.0000000000, 0.0977437461, -0.4164864334, 1.8281263799, 0.0000000000, 11.0612076881, -6.0148892949, -5.6498161747, -5.5815793795, -5.4813874054, 0.0000000000, 5.0000000000, 5.0000000000, 0.1183000000
          28, 1.8667875193, 0.1594914242, 0.0000000000, 0.0000000000, 0.0000000000, 0.0947134784, -0.4251837100, 1.8247059953, 0.0000000000, 11.7046263038, -6.0159194387, -5.6507420813, -5.5800954667, -5.4822382879, 0.0000000000, 5.0000000000, 5.0000000000, 0.1224666667
          29, 1.8659671492, 0.1509325712, 0.0000000000, 0.0000000000, 0.0000000000, 0.0919384985, -0.4330701547, 1.8212809459, 0.0000000000, 12.3629189829, -6.0175161207, -5.6516539825, -5.5789424320, -5.4836166465, 0.0000000000, 5.0000000000, 5.0000000000, 0.1266166667
          30, 1.8651106919, 0.1431637870, 0.0000000000, 0.0000000000, 0.0000000000, 0.0894298476, -0.4401940477, 1.8180657203, 0.0000000000, 13.0278105349, -6.0197218381, -5.6526807408, -5.5781168951, -5.4855808056, 0.0000000000, 5.0000000000, 5.0000000000, 0.1307833333
          31, 1.8643869610, 0.1361814160, 0.0000000000, 0.0000000000, 0.0000000000, 0.0871882386, -0.4466110320, 1.8152197400, 0.0000000000, 13.6904653800, -6.0225384112, -5.6539343410, -5.5775973320, -5.4881488332, 0.0000000000, 5.0000000000, 5.0000000000, 0.1349500000
          32, 1.8639233116, 0.1299625322, 0.0000000000, 0.0000000000, 0.0000000000, 0.0852046598, -0.4523822664, 1.8128570425, 0.0000000000, 14.3420051904, -6.0259313772, -5.6555046209, -5.5773534118, -5.4913018781, 0.0000000000, 5.0000000000, 5.0000000000, 0.1391000000
          33, 1.8638074789, 0.1244678844, 0.0000000000, 0.0000000000, 0.0000000000, 0.0834624225, -0.4575721927, 1.8110489394, 0.0000000000, 14.9742038950, -6.0298422893, -5.6574571532, -5.5773532991, -5.4949958471, 0.0000000000, 5.0000000000, 5.0000000000, 0.1432666667
